Polluted element,Type of pollution,Florida_Aberdeen,Florida_Tampa,Maryland_Columbia,Maryland_Fort Lauderdale
Average,,-20.75,25.14,2.43,-7.83
,  ,-20.75,25.14,2.43,-7.83
Air,,-24.18,52.89,4.85,-0.95
,  Oxygen-depletion,-6.45,45.80,-41.71,15.27
,  Solid Waste,52.29,95.80,15.26,-52.16
,  Thermal,-68.84,-24.48,26.81,-46.83
,  Urban Activities,-73.71,94.44,19.02,79.93
Soil,,-42.42,4.39,2.29,-1.98
,  Groundwater,-74.71,-21.43,-46.95,15.13
,  Inferior Irrigation,-75.63,99.25,18.31,-50.65
,  Inorganic Fertilizers,-77.61,-34.79,11.76,-53.82
,  Noise,58.26,-25.45,26.04,81.40
Water,,4.34,18.12,0.16,-20.56
,  Chemical,-11.96,35.05,-48.32,78.73
,  Industrial,-76.42,98.30,16.80,-56.51
,  Light,55.55,-27.12,23.23,-48.20
,  Surface water,50.20,-33.75,8.94,-56.27
