Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Workshop,Q2,April,2.51
Production,Workshop,Q4,May,4.79
Production,Workshop,Q2,June,5.67
Production,Workshop,Q4,October,6.85
Production,Workshop,Q2,December,14.52
Production,Workshop,Q4,April,17.06
Residential,Factory,Q2,April,17.25
Residential,Factory,Q4,May,18.97
Residential,Factory,Q2,June,18.64
Residential,Factory,Q4,October,21.09
Residential,Factory,Q2,December,20.67
Residential,Factory,Q4,April,22.31
Service,House,Q2,April,25.5
Service,House,Q4,May,31.84
Service,House,Q2,June,35.69
Service,House,Q4,October,36.08
Service,House,Q2,December,37.35
Service,House,Q4,April,41.57
Production,Apartment,Q2,April,43.38
Production,Apartment,Q4,May,51.14
Production,Apartment,Q2,June,53.83
Production,Apartment,Q4,October,53.42
Production,Apartment,Q2,December,57.22
Production,Apartment,Q4,April,61.68
Residential,Library,Q2,April,62.55
Residential,Library,Q4,May,64.03
Residential,Library,Q2,June,65.71
Residential,Library,Q4,October,65.97
Residential,Library,Q2,December,65.07
Residential,Library,Q4,April,69.99
Service,Hospital,Q2,April,70.36
Service,Hospital,Q4,May,71.0
Service,Hospital,Q2,June,69.01
Service,Hospital,Q4,October,73.35
Service,Hospital,Q2,December,75.09
Service,Hospital,Q4,April,79.35
Production,Administration,Q2,April,83.02
Production,Administration,Q4,May,88.01
Production,Administration,Q2,June,91.46
Production,Administration,Q4,October,92.05
Production,Administration,Q2,December,94.62
Production,Administration,Q4,April,95.46
