Quarter,Month,Production_Administration,Production_Workshop,Service_Factory,Service_Library,Service_School,Minimum,State,City
Q1,,25.94,61.74,88.35,5.97,45.09,5.97,,
,  December,25.94,61.74,88.35,5.97,45.09,5.97,Maryland,Baltimore
,  March,36.70,70.97,91.59,11.04,49.99,11.04,Maryland,Baltimore
,  September,41.33,78.72,97.50,18.49,56.77,18.49,Maryland,Baltimore
Q3,,18.96,60.10,79.85,1.99,43.75,1.99,,
,  February,37.50,70.09,93.73,9.60,53.06,9.60,Maryland,Baltimore
,  July,18.96,60.10,79.85,1.99,43.75,1.99,Maryland,Baltimore
,  October,27.68,63.93,89.49,9.88,44.18,9.88,Maryland,Baltimore
Q4,,24.62,60.66,82.90,2.64,44.95,2.64,,
,  January,35.42,65.53,91.52,9.93,45.11,9.93,Maryland,Baltimore
,  July,39.43,72.83,91.34,15.28,53.35,15.28,Maryland,Baltimore
,  September,24.62,60.66,82.90,2.64,44.95,2.64,Maryland,Baltimore
Minimum,,18.96,60.10,79.85,1.99,43.75,1.99,,
,  ,18.96,60.10,79.85,1.99,43.75,1.99,,
