Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2017,Temperature,31-40,0.54
2017,Wind,11-20,0.2
2017,Humidity,21-30,3.8
2017,Temperature,Calm,3.39
2017,Wind,Breeze,7.8
2017,Humidity,Storm,8.14
2017,Temperature,Low,9.98
2017,Wind,Medium,12.82
2017,Humidity,31-40,12.87
2021,Temperature,31-40,14.43
2021,Wind,11-20,16.59
2021,Humidity,21-30,19.31
2021,Temperature,Calm,19.96
2021,Wind,Breeze,20.69
2021,Humidity,Storm,20.8
2021,Temperature,Low,23.34
2021,Wind,Medium,19.63
2021,Humidity,31-40,27.74
