Polluted element,Type of pollution,Massachusetts_Boston_2016,Massachusetts_Lenox_2022,Massachusetts_Minneapolis_2022,Minnesota_Cambridge_2018,Minnesota_Hastings_2017,Minnesota_Rochester_2018
Air,,-77.20,-17.60,70.84,-48.64,22.96,24.41
,  Chemical,-83.14,-28.04,61.47,-59.09,94.81,15.25
,  Inorganic Fertilizers,-74.59,-15.42,67.81,-46.97,-1.36,24.79
,  Noise,-69.69,-6.19,81.17,-42.17,-99.82,36.10
,  Oxygen-depletion,-81.36,-20.74,72.92,-46.34,98.21,21.51
Soil,,-82.44,-21.91,66.28,-52.86,70.14,18.94
,  Solid Waste,-79.19,-19.50,64.62,-51.08,-5.74,20.29
,  Surface water,-85.23,-24.68,67.08,-54.84,96.18,17.17
,  Thermal,-79.70,-14.72,78.17,-46.17,99.65,30.98
,  Urban Activities,-85.64,-28.74,55.24,-59.34,90.46,7.32
Water,,-80.76,-19.37,68.85,-49.72,46.39,21.43
,  Groundwater,-81.41,-21.28,68.60,-48.12,97.39,17.35
,  Industrial,-77.62,-18.40,65.80,-49.09,-4.10,21.62
,  Inferior Irrigation,-85.53,-27.45,60.94,-57.12,92.40,11.66
,  Light,-78.49,-10.35,80.05,-44.53,-0.11,35.07
