Quarter,Month,Culture_House,Culture_Workshop,Production_Concert,Production_Factory,Production_Hotel,Residential_Apartment,Residential_Museum
Q1,,68.04,30.67,56.57,8.81,92.52,79.36,41.88
,  December,68.04,30.67,56.57,8.81,92.52,79.36,41.88
,  January,72.06,33.22,60.68,20.61,96.08,85.28,50.62
,  September,74.51,36.54,64.94,26.62,99.34,85.36,55.47
Q3,,69.06,30.51,58.56,9.29,93.91,81.22,44.68
,  July,73.09,30.51,62.43,22.93,97.77,86.57,51.35
,  March,69.06,30.71,58.56,9.29,93.91,81.22,44.68
,  October,76.90,37.26,65.83,26.73,99.25,90.95,56.76
Q4,,58.52,29.12,57.75,7.72,91.06,76.77,38.82
,  August,74.32,33.50,63.69,26.24,97.56,86.08,52.07
,  February,70.55,29.85,60.02,11.77,93.01,84.95,44.00
,  October,58.52,29.12,57.75,7.72,91.06,76.77,38.82
