Polluted element,Type of pollution,Florida_Aberdeen_2017,Florida_Fort Lauderdale_2015,Maryland_Columbia_2015,Maryland_Las Vegas_2020,Maryland_Tampa_2019,Nevada_Baltimore_2020,Nevada_Boulder City_2017
Average,,51.26,-76.73,20.92,-15.87,-39.44,78.24,-42.52
,  ,51.26,-76.73,20.92,-15.87,-39.44,78.24,-42.52
Air,,53.47,-74.62,22.76,-14.31,-71.57,80.10,-41.36
,  Chemical,50.81,-75.88,23.03,-14.15,0.73,78.89,-41.53
,  Industrial,46.27,-80.30,16.35,-16.95,-99.61,74.32,-53.56
,  Noise,61.80,-68.41,29.69,-9.78,-92.72,85.02,-31.52
,  Urban Activities,54.98,-73.87,21.98,-16.36,-94.68,82.19,-38.84
Soil,,50.73,-77.17,21.76,-16.29,-22.98,78.21,-42.29
,  Inorganic Fertilizers,36.87,-81.70,15.09,-18.28,97.48,72.21,-50.68
,  Light,60.84,-68.92,29.37,-16.64,-92.03,83.07,-34.56
,  Solid Waste,53.77,-82.93,21.94,-14.12,-99.51,80.66,-41.74
,  Surface water,51.45,-75.14,20.63,-16.10,2.15,76.91,-42.16
Water,,49.57,-78.41,18.25,-17.00,-23.77,76.40,-43.92
,  Groundwater,49.70,-78.22,17.48,-17.09,0.81,74.97,-43.05
,  Inferior Irrigation,50.37,-81.29,20.28,-15.97,-98.71,76.98,-42.62
,  Oxygen-depletion,40.56,-83.84,9.20,-22.18,96.43,70.41,-52.46
,  Thermal,57.65,-70.31,26.06,-12.77,-93.60,83.25,-37.56
