Quarter,Month,Culture_Administration,Culture_Factory,Culture_Theatre,Production_Concert,Production_Library,Production_Workshop,Service_Museum,Service_School,Minimum,State,City
Q2,,90.75,28.14,54.45,50.59,76.75,5.32,37.87,67.83,5.32,,
,  December,90.75,28.14,54.45,50.59,76.75,5.32,37.87,67.83,5.32,Nevada,Boulder City
,  May,93.27,30.15,61.49,52.14,80.80,7.11,42.27,69.75,7.11,Nevada,Boulder City
,  November,98.27,33.14,65.31,51.42,83.67,18.96,46.37,72.29,18.96,Nevada,Boulder City
Q4,,87.30,19.73,55.96,48.80,73.13,0.65,37.76,65.19,0.65,,
,  April,92.11,29.88,57.84,51.84,77.71,7.32,40.49,68.82,7.32,Nevada,Las Vegas
,  June,94.90,31.75,63.29,53.98,80.40,14.27,45.16,70.50,14.27,Nevada,Las Vegas
,  November,87.30,19.73,55.96,48.80,73.13,0.65,37.76,65.19,0.65,Nevada,Las Vegas
Minimum,,87.30,19.73,54.45,48.80,73.13,0.65,37.76,65.19,0.65,,
,  ,87.30,19.73,54.45,48.80,73.13,0.65,37.76,65.19,0.65,,
