Quarter,Month,Culture_Apartment,Culture_Hotel,Culture_Museum,Residential_House,Residential_Theatre,Minimum
Q1,August,56.67,97.52,22.57,83.47,43.88,22.57
,October,56.25,89.93,10.52,80.54,33.20,10.52
,September,52.16,86.03,9.83,63.90,26.28,9.83
Q3,August,44.97,84.32,4.40,60.16,22.28,4.40
,March,57.44,91.41,14.64,80.90,38.14,14.64
,November,53.04,87.76,10.58,65.97,30.47,10.58
Q4,December,54.97,87.23,11.59,68.88,30.30,11.59
,February,58.19,93.55,20.03,80.45,42.73,20.03
,July,45.74,85.67,8.14,60.94,22.58,8.14
Minimum,,44.97,84.32,4.40,60.16,22.28,4.40
