Quarter,Month,State,City,Culture_Concert,Culture_Factory,Production_Museum,Production_Workshop,Minimum
Q1,March,Maryland,Baltimore,95.53,44.74,72.85,13.79,13.79
,May,Maryland,Baltimore,85.04,42.21,57.33,3.11,3.11
,September,Maryland,Baltimore,97.56,50.36,80.70,31.62,31.62
Q2,April,Maryland,Baltimore,93.86,42.69,71.38,14.85,14.85
,August,Maryland,Baltimore,84.46,40.60,56.60,2.14,2.14
,January,Maryland,Baltimore,98.47,48.60,76.20,23.14,23.14
Q3,February,Maryland,Baltimore,97.43,48.44,74.16,20.80,20.80
,June,Maryland,Baltimore,87.34,42.62,71.18,13.43,13.43
,September,Maryland,Baltimore,80.82,32.37,50.51,1.98,1.98
Minimum,,,,80.82,32.37,50.51,1.98,1.98
