Polluted element,Type of pollution,Illinois_Lenox_2019,Illinois_Springfield_2020,Massachusetts_Chicago_2019,Massachusetts_Minneapolis_2020,Minnesota_Cambridge_2020,Minnesota_Champaign_2019,Minnesota_Rochester_2019
Air,Groundwater,92.08,-42.66,-65.19,65.71,-80.01,-2.70,35.73
,Industrial,79.03,-48.39,-74.10,57.55,-95.06,-22.47,24.18
,Oxygen-depletion,86.64,-45.30,-67.51,61.99,-85.95,-17.27,28.56
,Surface water,73.91,-59.30,-78.69,46.93,97.65,-35.44,10.30
Soil,Chemical,69.27,-60.80,-79.79,43.91,94.83,-37.88,4.34
,Noise,84.21,-47.79,-69.66,57.29,-94.58,-18.66,26.58
,Solid Waste,77.51,-49.59,-74.97,50.95,-96.41,-25.11,19.52
,Surface water,87.03,-43.30,-67.19,65.61,-82.71,-9.26,34.31
Water,Chemical,86.14,-44.48,-66.39,64.48,-83.02,-10.00,31.43
,Groundwater,75.49,-52.50,-75.91,48.69,-0.58,-31.35,17.43
,Light,80.35,-47.25,-69.86,58.26,-94.38,-21.04,26.67
,Oxygen-depletion,68.57,-61.66,-79.69,36.23,93.25,-39.91,1.59
