Polluted element,Type of pollution,Georgia_Albany_2020,Georgia_Boston_2016,Georgia_Flint_2019,Massachusetts_Detroit_2016,Massachusetts_Lenox_2022,Michigan_Cambridge_2019,Michigan_Port Huron_2020,Michigan_Washington_2022,Average
Air,,20.89,-28.43,64.67,80.22,-57.95,-7.48,-76.98,58.66,6.70
,  Industrial,15.71,-30.56,96.22,77.22,-62.65,-8.72,-78.45,52.15,7.61
,  Inorganic Fertilizers,24.31,-27.65,-1.85,80.53,-55.18,-7.94,-78.47,57.73,-1.06
,  Noise,22.65,-27.08,99.65,82.92,-56.01,-5.77,-74.02,66.09,13.55
Soil,,14.64,-30.78,63.21,79.48,-59.70,-9.23,-80.16,57.71,4.40
,  Solid Waste,9.30,-31.78,95.55,77.07,-63.29,-11.88,-81.96,51.94,5.62
,  Surface water,13.14,-30.95,-4.16,79.31,-55.73,-8.85,-82.78,56.23,-4.22
,  Thermal,21.49,-29.60,98.24,82.05,-60.09,-6.95,-75.75,64.97,11.79
Water,,11.38,-27.22,78.51,76.04,-60.95,-10.56,-82.22,56.32,5.16
,  Light,17.91,-31.73,95.72,79.56,-60.76,-7.46,-76.33,64.80,10.21
,  Oxygen-depletion,11.93,-16.67,45.52,73.53,-58.27,-10.38,-84.25,55.95,2.17
,  Urban Activities,4.30,-33.27,94.30,75.03,-63.82,-13.84,-86.08,48.21,3.10
Average,,15.64,-28.81,68.80,78.58,-59.53,-9.09,-79.79,57.56,5.42
,  ,15.64,-28.81,68.80,78.58,-59.53,-9.09,-79.79,57.56,5.42
