Quarter,Month,State,City,Culture_Hotel,Culture_Theatre,Residential_Administration,Residential_Concert,Service_Apartment,Service_Library,Minimum
Q2,August,Nevada,Boulder City,47.74,94.36,31.36,83.33,63.32,19.15,19.15
,December,Maryland,Las Vegas,40.96,95.73,25.14,80.28,55.88,16.81,16.81
,September,Nevada,Baltimore,36.83,89.11,22.35,70.57,54.75,10.55,10.55
Q3,August,Nevada,Boulder City,34.58,17.11,19.24,65.13,52.14,5.26,5.26
,May,Nevada,Baltimore,43.93,95.76,26.16,81.47,59.75,17.68,17.68
,October,Maryland,Aberdeen,39.22,92.22,19.53,77.11,55.11,14.01,14.01
Q4,July,Maryland,Las Vegas,35.08,89.97,21.59,65.06,53.68,9.29,9.29
,June,Maryland,Aberdeen,46.80,97.99,26.06,82.63,61.37,16.47,16.47
,November,Nevada,Boulder City,40.88,94.21,24.20,78.55,56.77,14.23,14.23
Minimum,,,,34.58,17.11,19.24,65.06,52.14,5.26,5.26
