Category,Item,Export_2020,Export_2021,Export_2022,Average
Beverage,,289.47,507.05,390.49,395.67
,  Cheese,328.17,442.93,948.65,573.25
,  Juice,449.40,496.30,36.65,327.45
,  Pork,90.83,581.90,186.16,286.30
Dairy,,247.50,509.73,906.95,554.73
,  Butter,586.92,829.82,950.10,788.95
,  Camel,90.07,392.93,827.51,436.84
,  Soda,65.52,306.43,943.24,438.40
Meat,,678.83,640.62,228.27,515.91
,  Cream,326.02,757.61,179.73,421.12
,  Duck,976.85,512.94,440.18,643.32
,  Juice,733.63,651.31,64.90,483.28
Average,,405.27,552.46,508.57,488.77
,  ,405.27,552.46,508.57,488.77
