Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Administration,Q1,January,4.54
Service,Administration,Q3,March,5.88
Service,Administration,Q4,February,9.99
Service,Administration,Q1,July,11.16
Service,Administration,Q3,September,11.56
Service,Administration,Q4,August,13.68
Service,Administration,Q1,October,15.0
Service,Administration,Q3,November,16.09
Service,Administration,Q4,January,17.92
Production,Library,Q1,January,29.74
Production,Library,Q3,March,19.44
Production,Library,Q4,February,20.17
Production,Library,Q1,July,21.08
Production,Library,Q3,September,21.84
Production,Library,Q4,August,26.24
Production,Library,Q1,October,26.88
Production,Library,Q3,November,28.52
Production,Library,Q4,January,28.58
Residential,Hospital,Q1,January,30.82
Residential,Hospital,Q3,March,26.81
Residential,Hospital,Q4,February,32.81
Residential,Hospital,Q1,July,0.11
Residential,Hospital,Q3,September,33.86
Residential,Hospital,Q4,August,32.7
Residential,Hospital,Q1,October,36.67
Residential,Hospital,Q3,November,37.87
Residential,Hospital,Q4,January,35.98
Service,Factory,Q1,January,40.1
Service,Factory,Q3,March,41.91
Service,Factory,Q4,February,42.91
Service,Factory,Q1,July,45.78
Service,Factory,Q3,September,46.39
Service,Factory,Q4,August,48.32
Service,Factory,Q1,October,49.37
Service,Factory,Q3,November,52.34
Service,Factory,Q4,January,55.19
Production,Workshop,Q1,January,56.04
Production,Workshop,Q3,March,59.84
Production,Workshop,Q4,February,60.63
Production,Workshop,Q1,July,62.29
Production,Workshop,Q3,September,63.45
Production,Workshop,Q4,August,65.41
Production,Workshop,Q1,October,67.03
Production,Workshop,Q3,November,68.54
Production,Workshop,Q4,January,69.86
Residential,Hotel,Q1,January,70.07
Residential,Hotel,Q3,March,70.87
Residential,Hotel,Q4,February,69.72
Residential,Hotel,Q1,July,68.32
Residential,Hotel,Q3,September,74.14
Residential,Hotel,Q4,August,75.87
Residential,Hotel,Q1,October,76.0
Residential,Hotel,Q3,November,72.18
Residential,Hotel,Q4,January,73.86
Service,Apartment,Q1,January,80.35
Service,Apartment,Q3,March,80.72
Service,Apartment,Q4,February,82.07
Service,Apartment,Q1,July,85.84
Service,Apartment,Q3,September,87.66
Service,Apartment,Q4,August,87.97
Service,Apartment,Q1,October,89.07
Service,Apartment,Q3,November,90.13
Service,Apartment,Q4,January,88.12
Production,House,Q1,January,88.06
Production,House,Q3,March,89.65
Production,House,Q4,February,95.51
Production,House,Q1,July,95.44
Production,House,Q3,September,96.94
Production,House,Q4,August,98.66
Production,House,Q1,October,99.79
Production,House,Q3,November,99.9
Production,House,Q4,January,97.01
