Polluted element,Type of pollution,Massachusetts_Cambridge_2020,Massachusetts_Flint_2020,Michigan_Boston_2021,Michigan_Detroit_2021,Michigan_Lenox_2021,Average
Air,,1.41,-54.50,-38.07,9.75,13.36,-13.61
,  Noise,3.45,27.79,-82.06,9.80,-25.02,-13.21
,  Solid Waste,-59.93,-94.26,49.61,12.24,99.04,1.34
,  Urban Activities,60.70,-97.03,-81.77,7.21,-33.93,-28.96
Soil,,-17.35,-53.15,47.18,11.08,38.13,5.18
,  Groundwater,69.25,34.78,47.43,11.11,-25.16,27.48
,  Inorganic Fertilizers,-63.03,-96.11,47.60,10.71,95.80,-1.01
,  Thermal,-58.27,-98.11,46.51,11.41,43.76,-10.94
Water,,50.98,-95.68,-35.51,-25.01,-21.16,-25.28
,  Inferior Irrigation,69.69,-96.69,49.66,10.23,-30.38,0.50
,  Light,8.43,-96.64,-79.52,14.37,-18.67,-34.41
,  Oxygen-depletion,74.82,-93.72,-76.66,-99.63,-14.44,-41.93
