Polluted element,Type of pollution,Maryland_Aberdeen_2020,Maryland_Baltimore_2020,Maryland_Minneapolis_2020,Minnesota_Columbia_2022,Minnesota_Hastings_2022,Minnesota_Rochester_2022
Average,,-14.16,-5.77,-35.20,19.05,-17.70,-11.21
,  ,-14.16,-5.77,-35.20,19.05,-17.70,-11.21
Air,,-12.35,-47.52,-31.37,30.36,27.54,-6.33
,  Inferior Irrigation,-22.03,-51.31,-88.34,-39.24,49.03,14.60
,  Inorganic Fertilizers,-1.83,-44.93,-79.53,-28.65,-59.95,-91.54
,  Noise,-10.73,-45.26,47.11,99.40,63.98,33.94
,  Oxygen-depletion,-14.80,-48.60,-4.70,89.94,57.10,17.67
Soil,,-16.25,-17.37,11.18,-3.10,-8.95,-15.20
,  Industrial,-19.57,77.18,41.41,90.51,48.06,15.02
,  Inorganic Fertilizers,-26.95,-54.44,39.37,-41.19,-80.28,-0.72
,  Light,-4.49,-44.51,47.69,-28.33,-61.61,-93.01
,  Surface water,-13.97,-47.72,-83.76,-33.38,58.05,17.92
Water,,-13.88,47.59,-85.42,29.88,-71.70,-12.09
,  Chemical,-11.76,80.91,-82.39,99.32,-68.57,23.26
,  Groundwater,-18.17,79.50,-88.36,-41.97,-73.58,14.10
,  Thermal,-3.10,84.47,-82.03,-26.69,-61.91,-91.38
,  Urban Activities,-22.50,-54.53,-88.91,88.88,-82.73,5.66
