Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2015,Humidity,High,1.44
2015,Temperature,Low,2.77
2015,Humidity,Medium,3.16
2015,Temperature,0-10,4.11
2015,Humidity,11-20,5.84
2015,Temperature,31-40,3.06
2018,Humidity,High,7.97
2018,Temperature,Low,8.61
2018,Humidity,Medium,27.87
2018,Temperature,0-10,8.45
2018,Humidity,11-20,11.05
2018,Temperature,31-40,5.7
2017,Humidity,High,15.63
2017,Temperature,Low,22.86
2017,Humidity,Medium,23.99
2017,Temperature,0-10,24.07
2017,Humidity,11-20,25.65
2017,Temperature,31-40,27.57
