Polluted element,Type of pollution,California_Baltimore_2019,California_San Francisco_2019,Maryland_Berkeley_2020,Maryland_Columbia_2020,Maryland_Malibu_2020
Air,,-21.67,51.64,-13.66,17.01,33.58
,  Inorganic Fertilizers,39.18,81.65,-16.92,12.96,62.45
,  Noise,42.89,-46.32,-11.62,17.26,66.65
,  Oxygen-depletion,-74.99,93.96,-1.77,26.44,74.32
,  Surface water,-93.77,77.28,-24.32,11.38,-69.11
Soil,,41.80,47.56,-16.66,15.79,-33.80
,  Chemical,50.93,-46.35,-7.13,25.03,-62.83
,  Industrial,38.69,79.23,-19.58,12.62,-67.13
,  Oxygen-depletion,35.67,76.70,-25.68,10.51,-70.86
,  Thermal,41.92,80.65,-14.26,15.00,65.61
Water,,-33.69,47.81,12.64,14.34,61.69
,  Chemical,-1.81,-53.06,96.78,9.13,57.89
,  Groundwater,-92.76,79.80,-21.15,12.03,60.22
,  Inferior Irrigation,40.22,79.44,-15.94,15.16,64.37
,  Light,-80.40,85.07,-9.12,21.03,64.27
