Characteristic,Intensity,2015_Florida_Flint,2016_Florida_Fort Lauderdale,2016_Michigan_Port Huron,2020_Michigan_Tampa
Maximum,,26.90,8.22,27.89,17.95
,  ,26.90,8.22,27.89,17.95
Humidity,,24.78,2.69,25.97,15.41
,  21-30,21.32,2.69,24.81,12.20
,  Medium,18.34,0.98,25.97,8.26
,  Storm,24.78,2.35,24.53,15.41
Temperature,,25.00,7.98,27.89,15.07
,  11-20,17.22,4.08,27.89,13.39
,  High,19.88,0.36,27.88,10.05
,  Medium,25.00,7.98,22.20,15.07
Wind,,26.90,8.22,26.46,17.95
,  Calm,15.94,3.36,25.05,14.24
,  High,26.90,8.22,24.41,17.95
,  Low,11.54,2.43,26.46,11.69
