Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Temperature,31-40,0.18
2019,Humidity,11-20,1.65
2019,Wind,Low,2.63
2019,Temperature,High,3.2
2019,Humidity,Medium,4.63
2019,Wind,Breeze,2.1
2019,Temperature,Calm,3.69
2019,Humidity,Storm,2.53
2019,Wind,31-40,2.28
2016,Temperature,31-40,5.37
2016,Humidity,11-20,9.42
2016,Wind,Low,11.26
2016,Temperature,High,12.02
2016,Humidity,Medium,12.31
2016,Wind,Breeze,14.49
2016,Temperature,Calm,12.72
2016,Humidity,Storm,16.61
2016,Wind,31-40,17.6
2022,Temperature,31-40,15.39
2022,Humidity,11-20,15.03
2022,Wind,Low,13.68
2022,Temperature,High,21.43
2022,Humidity,Medium,21.12
2022,Wind,Breeze,25.76
2022,Temperature,Calm,27.87
2022,Humidity,Storm,27.36
2022,Wind,31-40,27.84
