Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2018,Humidity,High,3.12
2018,Temperature,Medium,4.5
2018,Wind,Low,3.77
2018,Humidity,31-40,6.0
2018,Temperature,21-30,7.61
2018,Wind,Calm,9.1
2018,Humidity,Breeze,9.57
2018,Temperature,High,24.93
2018,Wind,Medium,15.08
2020,Humidity,High,14.09
2020,Temperature,Medium,16.75
2020,Wind,Low,15.37
2020,Humidity,31-40,21.22
2020,Temperature,21-30,23.56
2020,Wind,Calm,24.47
2020,Humidity,Breeze,24.68
2020,Temperature,High,26.4
2020,Wind,Medium,25.69
