Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Male,2020,Q4,Fire,Slight,64.78
Male,2020,Q4,Traffic,Serious,33.09
Male,2020,Q4,Drowning,Fatal,98.67
Male,2015,Q2,Fire,Slight,99.95
Male,2015,Q2,Traffic,Serious,70.7
Male,2015,Q2,Drowning,Fatal,39.48
Male,2020,Q4,Fire,Slight,70.16
Male,2020,Q4,Traffic,Serious,43.46
Male,2020,Q4,Drowning,Fatal,75.09
Male,2015,Q2,Fire,Slight,44.79
Male,2015,Q2,Traffic,Serious,78.02
Male,2015,Q2,Drowning,Fatal,47.2
Male,2020,Q4,Fire,Slight,23.52
Male,2020,Q4,Traffic,Serious,29.91
Male,2020,Q4,Drowning,Fatal,63.52
