Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2022,Q2,Fire,Fatal,64.04
Female,2022,Q2,Drowning,Slight,35.0
Female,2022,Q2,Traffic,Fatal,38.69
Female,2015,Q2,Fire,Fatal,39.83
Female,2015,Q2,Drowning,Slight,70.02
Female,2015,Q2,Traffic,Fatal,75.51
Female,2020,Q2,Fire,Fatal,14.37
Female,2020,Q2,Drowning,Slight,47.15
Female,2020,Q2,Traffic,Fatal,49.5
Female,2022,Q2,Fire,Fatal,52.92
Female,2022,Q2,Drowning,Slight,52.12
Female,2022,Q2,Traffic,Fatal,87.41
Female,2015,Q2,Fire,Fatal,55.96
Female,2015,Q2,Drowning,Slight,58.74
Female,2015,Q2,Traffic,Fatal,94.57
