Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2017,Oregon,Portland,Temperature,11-20,1.72
2017,Oregon,Portland,Humidity,0-10,2.46
2017,Oregon,Portland,Temperature,21-30,2.25
2017,Oregon,Portland,Humidity,Low,4.37
2017,Oregon,Portland,Temperature,Medium,3.66
2017,Oregon,Portland,Humidity,11-20,4.11
2021,California,Salem,Temperature,11-20,7.14
2021,California,Salem,Humidity,0-10,8.29
2021,California,Salem,Temperature,21-30,9.82
2021,California,Salem,Humidity,Low,4.64
2021,California,Salem,Temperature,Medium,9.5
2021,California,Salem,Humidity,11-20,4.21
2017,Oregon,Redmond,Temperature,11-20,9.05
2017,Oregon,Redmond,Humidity,0-10,8.95
2017,Oregon,Redmond,Temperature,21-30,15.82
2017,Oregon,Redmond,Humidity,Low,16.7
2017,Oregon,Redmond,Temperature,Medium,16.59
2017,Oregon,Redmond,Humidity,11-20,15.75
2021,California,San Francisco,Temperature,11-20,15.13
2021,California,San Francisco,Humidity,0-10,20.17
2021,California,San Francisco,Temperature,21-30,21.57
2021,California,San Francisco,Humidity,Low,20.28
2021,California,San Francisco,Temperature,Medium,23.66
2021,California,San Francisco,Humidity,11-20,24.52
2017,Oregon,Malibu,Temperature,11-20,25.28
2017,Oregon,Malibu,Humidity,0-10,18.89
2017,Oregon,Malibu,Temperature,21-30,27.93
2017,Oregon,Malibu,Humidity,Low,23.93
2017,Oregon,Malibu,Temperature,Medium,20.39
2017,Oregon,Malibu,Humidity,11-20,15.16
