Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Temperature,31-40,0.99
2022,Humidity,21-30,4.24
2022,Temperature,0-10,6.79
2022,Humidity,Medium,8.1
2022,Temperature,Low,10.47
2022,Humidity,High,10.56
2019,Temperature,31-40,13.5
2019,Humidity,21-30,18.46
2019,Temperature,0-10,23.06
2019,Humidity,Medium,20.38
2019,Temperature,Low,22.99
2019,Humidity,High,22.52
2020,Temperature,31-40,24.37
2020,Humidity,21-30,24.58
2020,Temperature,0-10,20.96
2020,Humidity,Medium,22.37
2020,Temperature,Low,20.19
2020,Humidity,High,20.84
