State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Illinois,Champaign,Water,Groundwater,0.69
Illinois,Champaign,Soil,Chemical,3.37
Illinois,Champaign,Air,Oxygen-depletion,9.45
Illinois,Champaign,Water,Surface water,11.22
Illinois,Champaign,Soil,Inorganic Fertilizers,12.86
Illinois,Champaign,Air,Urban Activities,11.61
Illinois,Champaign,Water,Noise,16.87
Illinois,Champaign,Soil,Light,20.53
Illinois,Champaign,Air,Thermal,20.31
Illinois,Champaign,Water,Groundwater,27.78
Illinois,Champaign,Soil,Chemical,31.32
Illinois,Champaign,Air,Oxygen-depletion,32.03
Florida,Springfield,Water,Groundwater,34.93
Florida,Springfield,Soil,Chemical,36.32
Florida,Springfield,Air,Oxygen-depletion,37.71
Florida,Springfield,Water,Surface water,40.57
Florida,Springfield,Soil,Inorganic Fertilizers,41.34
Florida,Springfield,Air,Urban Activities,42.61
Florida,Springfield,Water,Noise,42.21
Florida,Springfield,Soil,Light,47.03
Florida,Springfield,Air,Thermal,48.52
Florida,Springfield,Water,Groundwater,49.92
Florida,Springfield,Soil,Chemical,48.33
Florida,Springfield,Air,Oxygen-depletion,51.62
Michigan,Chicago,Water,Groundwater,52.04
Michigan,Chicago,Soil,Chemical,52.36
Michigan,Chicago,Air,Oxygen-depletion,57.29
Michigan,Chicago,Water,Surface water,63.22
Michigan,Chicago,Soil,Inorganic Fertilizers,63.5
Michigan,Chicago,Air,Urban Activities,65.74
Michigan,Chicago,Water,Noise,66.18
Michigan,Chicago,Soil,Light,67.27
Michigan,Chicago,Air,Thermal,69.7
Michigan,Chicago,Water,Groundwater,75.69
Michigan,Chicago,Soil,Chemical,75.31
Michigan,Chicago,Air,Oxygen-depletion,78.38
Illinois,Fort Lauderdale,Water,Groundwater,80.46
Illinois,Fort Lauderdale,Soil,Chemical,80.89
Illinois,Fort Lauderdale,Air,Oxygen-depletion,82.17
Illinois,Fort Lauderdale,Water,Surface water,83.15
Illinois,Fort Lauderdale,Soil,Inorganic Fertilizers,88.71
Illinois,Fort Lauderdale,Air,Urban Activities,90.86
Illinois,Fort Lauderdale,Water,Noise,91.3
Illinois,Fort Lauderdale,Soil,Light,95.69
Illinois,Fort Lauderdale,Air,Thermal,-0.3
Illinois,Fort Lauderdale,Water,Groundwater,0.87
Illinois,Fort Lauderdale,Soil,Chemical,-97.62
Illinois,Fort Lauderdale,Air,Oxygen-depletion,-95.53
Florida,Tampa,Water,Groundwater,-90.93
Florida,Tampa,Soil,Chemical,-88.53
Florida,Tampa,Air,Oxygen-depletion,-87.39
Florida,Tampa,Water,Surface water,-86.3
Florida,Tampa,Soil,Inorganic Fertilizers,-85.59
Florida,Tampa,Air,Urban Activities,-87.97
Florida,Tampa,Water,Noise,-84.28
Florida,Tampa,Soil,Light,-78.73
Florida,Tampa,Air,Thermal,-77.14
Florida,Tampa,Water,Groundwater,-76.55
Florida,Tampa,Soil,Chemical,-75.54
Florida,Tampa,Air,Oxygen-depletion,-74.57
Michigan,Flint,Water,Groundwater,-74.56
Michigan,Flint,Soil,Chemical,-75.71
Michigan,Flint,Air,Oxygen-depletion,-69.84
Michigan,Flint,Water,Surface water,-67.34
Michigan,Flint,Soil,Inorganic Fertilizers,-62.45
Michigan,Flint,Air,Urban Activities,-59.47
Michigan,Flint,Water,Noise,-53.49
Michigan,Flint,Soil,Light,-47.6
Michigan,Flint,Air,Thermal,-47.41
Michigan,Flint,Water,Groundwater,-41.44
Michigan,Flint,Soil,Chemical,-39.31
Michigan,Flint,Air,Oxygen-depletion,-36.18
Illinois,Detroit,Water,Groundwater,-32.16
Illinois,Detroit,Soil,Chemical,-31.69
Illinois,Detroit,Air,Oxygen-depletion,-24.44
Illinois,Detroit,Water,Surface water,-22.36
Illinois,Detroit,Soil,Inorganic Fertilizers,-15.72
Illinois,Detroit,Air,Urban Activities,-10.31
Illinois,Detroit,Water,Noise,-10.4
Illinois,Detroit,Soil,Light,-8.41
Illinois,Detroit,Air,Thermal,-7.56
Illinois,Detroit,Water,Groundwater,-6.96
Illinois,Detroit,Soil,Chemical,-2.26
Illinois,Detroit,Air,Oxygen-depletion,-1.69
