Quarter,Month,Culture_Hotel,Culture_Museum,Residential_Concert,Residential_House,Residential_Library,Service_Administration,Service_Apartment
Minimum,,27.21,62.33,77.33,0.79,32.64,49.73,14.15
,  ,27.21,62.33,77.33,0.79,32.64,49.73,14.15
Q1,,27.21,62.33,77.33,0.79,37.41,49.73,14.15
,  April,31.18,67.13,81.31,3.83,40.03,55.92,18.53
,  March,27.21,62.33,77.33,0.79,37.41,49.73,14.15
,  November,34.03,75.35,89.94,7.60,46.02,57.67,24.21
Q2,,28.53,65.13,81.26,1.39,38.25,51.07,14.83
,  February,28.53,65.13,81.26,1.66,38.25,51.07,14.83
,  June,32.97,70.62,86.76,1.39,42.99,56.24,20.04
,  March,35.35,76.42,95.67,9.37,47.13,56.84,25.29
Q4,,29.72,66.80,82.65,1.31,32.64,52.73,17.05
,  February,35.55,77.50,96.07,12.60,49.61,59.38,25.33
,  May,29.72,66.80,82.65,1.31,32.64,52.73,17.05
,  October,31.19,71.62,88.12,2.71,42.93,56.54,22.59
