State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Massachusetts,Boston,Soil,Urban Activities,6.43
Massachusetts,Boston,Water,Inorganic Fertilizers,13.35
Massachusetts,Boston,Air,Inferior Irrigation,13.47
Massachusetts,Boston,Soil,Solid Waste,19.73
Massachusetts,Boston,Water,Groundwater,24.72
Massachusetts,Boston,Air,Surface water,24.42
Massachusetts,Boston,Soil,Chemical,25.46
Massachusetts,Boston,Water,Noise,-99.99
Massachusetts,Boston,Air,Light,32.07
Massachusetts,Boston,Soil,Thermal,-95.91
Massachusetts,Boston,Water,Urban Activities,36.58
Massachusetts,Boston,Air,Inorganic Fertilizers,38.07
Florida,Lenox,Soil,Urban Activities,38.58
Florida,Lenox,Water,Inorganic Fertilizers,39.47
Florida,Lenox,Air,Inferior Irrigation,-89.01
Florida,Lenox,Soil,Solid Waste,39.08
Florida,Lenox,Water,Groundwater,43.18
Florida,Lenox,Air,Surface water,43.66
Florida,Lenox,Soil,Chemical,43.29
Florida,Lenox,Water,Noise,46.57
Florida,Lenox,Air,Light,47.25
Florida,Lenox,Soil,Thermal,-81.92
Florida,Lenox,Water,Urban Activities,-78.9
Florida,Lenox,Air,Inorganic Fertilizers,-77.94
Massachusetts,Cambridge,Soil,Urban Activities,-75.67
Massachusetts,Cambridge,Water,Inorganic Fertilizers,-74.74
Massachusetts,Cambridge,Air,Inferior Irrigation,-74.53
Massachusetts,Cambridge,Soil,Solid Waste,56.01
Massachusetts,Cambridge,Water,Groundwater,-72.05
Massachusetts,Cambridge,Air,Surface water,-68.87
Massachusetts,Cambridge,Soil,Chemical,62.64
Massachusetts,Cambridge,Water,Noise,-65.29
Massachusetts,Cambridge,Air,Light,67.57
Massachusetts,Cambridge,Soil,Thermal,67.48
Massachusetts,Cambridge,Water,Urban Activities,39.21
Massachusetts,Cambridge,Air,Inorganic Fertilizers,72.01
Florida,Tampa,Soil,Urban Activities,74.6
Florida,Tampa,Water,Inorganic Fertilizers,-54.36
Florida,Tampa,Air,Inferior Irrigation,-54.48
Florida,Tampa,Soil,Solid Waste,76.56
Florida,Tampa,Water,Groundwater,83.12
Florida,Tampa,Air,Surface water,83.23
Florida,Tampa,Soil,Chemical,85.16
Florida,Tampa,Water,Noise,-42.42
Florida,Tampa,Air,Light,-42.21
Florida,Tampa,Soil,Thermal,-40.53
Florida,Tampa,Water,Urban Activities,90.94
Florida,Tampa,Air,Inorganic Fertilizers,-38.62
Massachusetts,Fort Lauderdale,Soil,Urban Activities,-36.08
Massachusetts,Fort Lauderdale,Water,Inorganic Fertilizers,-33.29
Massachusetts,Fort Lauderdale,Air,Inferior Irrigation,96.49
Massachusetts,Fort Lauderdale,Soil,Solid Waste,99.01
Massachusetts,Fort Lauderdale,Water,Groundwater,99.94
Massachusetts,Fort Lauderdale,Air,Surface water,-25.02
Massachusetts,Fort Lauderdale,Soil,Chemical,-20.82
Massachusetts,Fort Lauderdale,Water,Noise,-17.55
Massachusetts,Fort Lauderdale,Air,Light,-14.02
Massachusetts,Fort Lauderdale,Soil,Thermal,-7.39
Massachusetts,Fort Lauderdale,Water,Urban Activities,-3.25
Massachusetts,Fort Lauderdale,Air,Inorganic Fertilizers,-1.15
