Polluted element,Type of pollution,Maryland_Baltimore_2020,Maryland_Flint_2020,Michigan_Aberdeen_2017,Michigan_Columbia_2017,Michigan_Detroit_2017,Average
Air,,6.08,37.15,-11.84,-67.28,8.86,-5.40
,  Chemical,-29.66,43.30,-5.38,-54.35,13.66,-6.49
,  Noise,91.26,36.05,-11.54,-67.83,7.20,11.03
,  Urban Activities,-43.35,32.11,-18.59,-79.65,5.71,-20.75
Soil,,0.63,-51.25,-14.10,-28.94,6.41,-17.45
,  Groundwater,-31.80,-85.39,-7.59,-60.46,11.86,-34.68
,  Solid Waste,-51.79,26.90,-19.34,45.10,0.96,0.37
,  Thermal,85.49,-95.25,-15.38,-71.46,6.41,-18.04
Water,,51.07,-4.52,-9.12,65.19,8.96,22.32
,  Industrial,86.13,-95.66,-15.19,54.23,6.19,7.14
,  Light,95.60,38.12,-10.29,64.86,5.43,38.74
,  Oxygen-depletion,-28.51,43.98,-1.87,76.48,15.26,21.07
