Polluted element,Type of pollution,Florida_Cambridge_2022,Florida_Tampa_2017,Massachusetts_Boston_2017,Massachusetts_Fort Lauderdale_2018,Average
Air,,-15.44,0.49,30.57,-14.15,0.37
,  Industrial,-37.75,37.82,-15.54,-58.67,-18.54
,  Inferior Irrigation,-48.41,1.76,97.56,51.26,25.54
,  Inorganic Fertilizers,-34.22,44.21,-8.03,-58.75,-14.20
,  Light,-41.54,-95.96,-20.82,-62.59,-55.23
,  Solid Waste,84.73,14.62,99.70,58.00,64.26
Soil,,-16.71,-26.86,1.21,35.47,-1.72
,  Chemical,-38.57,-93.91,-17.49,-58.99,-52.24
,  Industrial,-48.63,1.02,-36.75,46.79,-9.39
,  Inorganic Fertilizers,84.61,12.95,98.20,54.74,62.62
,  Noise,-41.70,32.50,-23.15,61.21,7.21
,  Urban Activities,-39.25,-86.84,-14.74,73.60,-16.81
Water,,35.85,5.15,7.11,-6.45,10.42
,  Inferior Irrigation,92.56,41.58,-14.29,-37.49,20.59
,  Solid Waste,87.47,-82.56,-1.35,78.17,20.43
,  Surface water,-39.94,34.63,-18.36,69.73,11.52
,  Thermal,85.42,29.54,99.57,-68.02,36.63
,  Urban Activities,-46.25,2.55,-30.00,-74.63,-37.08
