Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Import,2017,Q4,Dairy,Cheese,67.66
Import,2017,Q4,Meat,Cream,164.35
Import,2017,Q4,Dairy,Duck,520.69
Import,2017,Q4,Meat,Beef,872.01
Import,2016,Q4,Dairy,Cheese,906.61
Import,2016,Q4,Meat,Cream,363.84
Import,2016,Q4,Dairy,Duck,557.96
Import,2016,Q4,Meat,Beef,654.31
Import,2017,Q4,Dairy,Cheese,430.63
Import,2017,Q4,Meat,Cream,623.58
Import,2017,Q4,Dairy,Duck,20.7
Import,2017,Q4,Meat,Beef,469.61
Import,2016,Q4,Dairy,Cheese,694.68
Import,2016,Q4,Meat,Cream,278.04
Import,2016,Q4,Dairy,Duck,536.32
Import,2016,Q4,Meat,Beef,443.0
