Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Temperature,21-30,0.56
2020,Humidity,31-40,1.66
2020,Wind,Low,2.44
2020,Temperature,Medium,2.0
2020,Humidity,High,4.38
2020,Wind,Storm,3.98
2020,Temperature,Calm,5.99
2020,Humidity,21-30,7.07
2020,Wind,31-40,7.92
2017,Temperature,21-30,9.94
2017,Humidity,31-40,7.42
2017,Wind,Low,7.4
2017,Temperature,Medium,14.5
2017,Humidity,High,15.84
2017,Wind,Storm,16.41
2017,Temperature,Calm,17.85
2017,Humidity,21-30,18.67
2017,Wind,31-40,19.82
2021,Temperature,21-30,20.79
2021,Humidity,31-40,21.8
2021,Wind,Low,22.95
2021,Temperature,Medium,17.9
2021,Humidity,High,24.1
2021,Wind,Storm,19.93
2021,Temperature,Calm,26.11
2021,Humidity,21-30,26.91
2021,Wind,31-40,21.58
