Polluted element,Type of pollution,Florida_Port Huron_2019,Florida_Tampa_2020,Michigan_Flint_2020,Michigan_Fort Lauderdale_2021,Average
Air,Chemical,78.60,34.19,-17.47,-70.52,6.20
,Inferior Irrigation,53.54,4.81,86.13,-79.14,16.33
,Noise,67.20,10.75,-35.73,52.79,23.75
,Oxygen-depletion,69.99,28.36,-26.46,55.13,31.75
Soil,Groundwater,-51.64,30.64,-22.13,-74.29,-29.36
,Industrial,-62.65,3.33,92.09,51.37,21.04
,Inorganic Fertilizers,59.79,3.19,82.93,47.08,48.25
,Thermal,-62.42,16.98,-27.64,53.30,-4.95
Water,Inorganic Fertilizers,-50.22,-84.84,-6.68,58.96,-20.70
,Light,68.47,13.86,96.64,52.21,57.80
,Solid Waste,60.41,5.24,-40.72,-78.12,-13.30
,Surface water,-54.41,29.65,-27.53,-72.63,-31.23
Average,,14.72,8.01,12.79,-0.32,8.80
