Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Library,Q2,April,1.08
Service,Library,Q3,May,2.58
Service,Library,Q1,June,5.68
Service,Library,Q2,August,5.33
Service,Library,Q3,September,6.98
Service,Library,Q1,March,7.54
Service,Library,Q2,January,9.03
Service,Library,Q3,February,11.75
Service,Library,Q1,April,12.18
Residential,School,Q2,April,16.74
Residential,School,Q3,May,23.53
Residential,School,Q1,June,30.22
Residential,School,Q2,August,33.39
Residential,School,Q3,September,35.22
Residential,School,Q1,March,35.72
Residential,School,Q2,January,37.92
Residential,School,Q3,February,38.39
Residential,School,Q1,April,38.32
Service,Hospital,Q2,April,36.41
Service,Hospital,Q3,May,43.5
Service,Hospital,Q1,June,45.54
Service,Hospital,Q2,August,45.69
Service,Hospital,Q3,September,45.58
Service,Hospital,Q1,March,49.17
Service,Hospital,Q2,January,50.38
Service,Hospital,Q3,February,54.19
Service,Hospital,Q1,April,63.79
Residential,Hotel,Q2,April,65.24
Residential,Hotel,Q3,May,67.16
Residential,Hotel,Q1,June,72.68
Residential,Hotel,Q2,August,73.09
Residential,Hotel,Q3,September,76.81
Residential,Hotel,Q1,March,77.14
Residential,Hotel,Q2,January,76.92
Residential,Hotel,Q3,February,76.45
Residential,Hotel,Q1,April,76.19
Service,Apartment,Q2,April,81.89
Service,Apartment,Q3,May,82.1
Service,Apartment,Q1,June,78.03
Service,Apartment,Q2,August,86.25
Service,Apartment,Q3,September,88.0
Service,Apartment,Q1,March,93.07
Service,Apartment,Q2,January,96.84
Service,Apartment,Q3,February,98.92
Service,Apartment,Q1,April,99.37
