Quarter,Month,Culture_Administration,Culture_Museum,Service_Concert,Service_Hospital,State,City
Q2,,28.48,70.08,54.79,2.50,,
,  April,37.55,75.38,63.18,14.10,Minnesota,Lenox
,  June,28.48,70.08,54.79,2.50,Minnesota,Minneapolis
,  October,49.50,92.11,64.30,20.09,Minnesota,Minneapolis
Q4,,36.79,69.26,60.84,13.19,,
,  December,52.33,95.19,69.46,21.04,Massachusetts,Hastings
,  May,36.79,69.26,60.84,13.19,Massachusetts,Hastings
,  November,47.19,87.31,64.70,18.99,Massachusetts,Cambridge
Minimum,,28.48,69.26,54.79,2.50,,
,  ,28.48,69.26,54.79,2.50,,
