Polluted element,Type of pollution,Minnesota_Hastings,Minnesota_Minneapolis,Minnesota_Redmond,Oregon_Portland,Oregon_Rochester,Oregon_Salem
Average,,-11.24,17.15,-23.93,8.56,46.75,14.22
,  ,-11.24,17.15,-23.93,8.56,46.75,14.22
Air,,3.13,2.78,10.65,6.24,-39.82,15.00
,  Groundwater,45.32,3.27,-36.15,48.99,-40.39,12.79
,  Industrial,-14.39,-60.55,34.75,52.74,-38.76,18.29
,  Thermal,-21.55,65.63,33.36,-83.02,-40.30,13.92
Soil,,-15.90,26.33,-29.12,8.16,91.22,15.56
,  Inorganic Fertilizers,-13.02,70.44,-93.14,-75.71,92.99,19.60
,  Light,-13.78,71.58,-29.15,49.31,91.20,13.69
,  Solid Waste,-20.89,-63.03,34.93,50.87,89.47,13.39
Water,,-20.96,22.35,-53.31,11.28,88.86,12.10
,  Noise,-22.24,62.55,-96.90,-1.05,87.71,9.13
,  Oxygen-depletion,-23.32,-61.31,31.14,-16.64,88.70,11.46
,  Urban Activities,-17.32,65.81,-94.18,51.53,90.17,15.71
