Polluted element,Type of pollution,California_Flint_2015,California_Los-Angeles_2015,California_Malibu_2015,Michigan_Berkeley_2019,Michigan_Detroit_2019,Michigan_Port Huron_2019,Average
Air,,-49.33,79.44,-16.74,29.61,-34.65,10.07,3.07
,  Inorganic Fertilizers,32.81,77.51,-17.43,28.01,52.09,9.41,30.40
,  Noise,-94.75,76.75,-19.28,93.79,-86.81,8.90,-3.57
,  Oxygen-depletion,-86.04,84.05,-13.51,-32.98,-69.23,11.89,-17.64
Soil,,13.61,-8.15,-18.91,50.95,52.53,8.47,16.42
,  Groundwater,41.88,-45.44,-17.73,95.60,56.36,10.53,23.53
,  Industrial,-35.47,-53.73,-18.55,-35.65,51.18,7.85,-14.06
,  Thermal,34.43,74.73,-20.44,92.91,50.04,7.03,39.78
Water,,-47.60,36.92,-15.85,9.99,-50.18,9.94,-9.46
,  Chemical,-86.43,84.44,-12.06,-31.23,-68.29,11.00,-17.10
,  Inferior Irrigation,32.62,-50.06,-16.44,-31.68,-7.93,11.62,-10.31
,  Surface water,-88.98,76.39,-19.06,92.88,-74.33,7.20,-0.98
Average,,-27.77,36.07,-17.17,30.18,-10.77,9.49,3.34
,  ,-27.77,36.07,-17.17,30.18,-10.77,9.49,3.34
