Quarter,Month,Culture_Theatre,Culture_Workshop,Production_Factory,Production_Museum,Minimum,State,City
Q1,,67.49,20.74,5.16,39.27,5.16,,
,  December,93.26,32.69,12.61,54.81,12.61,Massachusetts,Boston
,  July,67.49,20.74,5.16,39.27,5.16,Massachusetts,Lenox
,  March,98.06,36.87,15.76,61.14,15.76,Massachusetts,Lenox
Q3,,65.46,17.04,1.32,37.82,1.32,,
,  February,95.00,34.25,14.67,57.20,14.67,Massachusetts,Lenox
,  November,79.98,26.39,7.44,41.76,7.44,Massachusetts,Boston
,  September,65.46,17.04,1.32,37.82,1.32,Massachusetts,Lenox
Q4,,67.56,18.29,4.59,38.92,4.59,,
,  August,67.56,18.29,4.59,38.92,4.59,Massachusetts,Boston
,  January,95.88,35.28,15.62,61.53,15.62,Massachusetts,Boston
,  October,83.53,30.65,12.33,43.70,12.33,Massachusetts,Lenox
