Polluted element,Type of pollution,Florida_Hastings_2019,Florida_Port Huron_2019,Michigan_Detroit_2017,Michigan_Fort Lauderdale_2017,Minnesota_Flint_2015,Minnesota_Rochester_2015,Minnesota_Tampa_2015,Average
Air,,52.23,-71.03,-47.35,81.39,-11.72,12.47,-23.92,-1.13
,  Chemical,57.09,-66.09,-46.65,85.49,-7.76,14.22,-95.57,-8.47
,  Inorganic Fertilizers,43.38,-72.37,-50.27,76.15,-14.29,9.06,-7.56,-2.27
,  Light,69.91,-63.92,-37.69,89.00,-3.15,21.20,-85.54,-1.46
,  Noise,38.56,-81.73,-54.77,74.94,-21.67,5.38,92.99,7.67
Soil,,55.04,-68.56,-42.95,82.34,-9.97,16.16,-45.31,-1.89
,  Inferior Irrigation,70.21,-60.60,-27.87,89.32,-2.27,29.52,-85.63,1.81
,  Light,38.03,-78.67,-52.16,75.41,-18.86,7.54,95.86,9.59
,  Solid Waste,51.45,-69.93,-50.40,77.76,-12.59,10.19,-99.29,-13.26
,  Surface water,60.46,-65.02,-41.38,86.88,-6.18,17.39,-92.17,-5.72
Water,,58.22,-65.75,-40.48,82.77,-8.55,18.64,-42.23,0.37
,  Industrial,56.45,-68.42,-48.30,74.76,-12.60,10.84,-98.94,-12.32
,  Inferior Irrigation,38.25,-74.35,-51.11,76.59,-15.47,8.01,99.98,11.70
,  Inorganic Fertilizers,69.39,-55.82,-23.27,91.04,-1.74,35.28,-82.99,4.56
,  Noise,68.77,-64.43,-39.23,88.70,-4.38,20.43,-86.99,-2.45
