Polluted element,Type of pollution,Florida_Boulder City_2022,Florida_Tampa_2020,Nevada_Fort Lauderdale_2021,Nevada_Portland_2020,Oregon_Las Vegas_2015,Oregon_Redmond_2021,Average
Air,,-10.90,-31.85,-43.88,50.38,18.06,-21.16,-6.56
,  Groundwater,74.53,-33.41,-87.03,-34.66,-69.34,-15.87,-27.63
,  Surface water,-55.12,-96.99,-88.28,90.21,57.56,-23.86,-19.41
,  Thermal,-52.10,34.86,43.68,95.59,65.96,-23.74,27.38
Water,,29.73,-34.24,-65.91,46.66,17.59,-22.67,-4.81
,  Chemical,72.81,-36.70,-21.62,-38.61,-70.09,-21.21,-19.24
,  Light,72.78,-96.40,-86.17,91.49,64.95,-22.27,4.06
,  Oxygen-depletion,-56.39,30.39,-89.94,87.09,57.90,-24.54,0.75
Average,,9.42,-33.04,-54.89,48.52,17.82,-21.91,-5.68
,  ,9.42,-33.04,-54.89,48.52,17.82,-21.91,-5.68
