Polluted element,Type of pollution,Georgia_Aberdeen_2017,Georgia_Springfield_2021,Illinois_Albany_2021,Illinois_Baltimore_2021,Illinois_Chicago_2017,Maryland_Champaign_2021,Maryland_Columbia_2017,Maryland_Washington_2017,Average
Air,,70.49,-60.33,-13.04,40.18,-75.34,92.82,18.44,-32.05,5.15
,  Chemical,68.62,-60.84,-13.24,37.50,-87.26,95.12,19.84,-32.44,3.41
,  Inferior Irrigation,71.41,-60.61,-11.85,40.90,-38.02,90.94,17.91,-32.70,9.75
,  Light,78.18,-50.41,-8.87,49.73,-83.20,94.15,19.11,-28.41,8.79
,  Surface water,63.74,-69.46,-18.20,32.58,-92.86,91.05,16.89,-34.65,-1.36
Soil,,64.84,-64.49,-16.49,36.46,-66.58,92.23,17.11,-36.06,3.38
,  Groundwater,64.23,-65.17,-20.32,33.75,-91.35,93.27,17.90,-33.51,-0.15
,  Inorganic Fertilizers,67.38,-61.94,-14.31,39.66,7.23,91.85,14.83,-38.55,13.27
,  Solid Waste,59.08,-71.54,-20.54,27.00,-95.54,88.39,14.33,-41.93,-5.09
,  Thermal,68.67,-59.33,-10.80,45.44,-86.65,95.40,21.40,-30.27,5.48
Water,,68.27,-64.13,-14.05,28.13,-77.42,92.89,17.91,-34.38,2.15
,  Industrial,69.48,-61.39,-13.34,40.44,-42.01,89.95,16.01,-34.47,8.08
,  Noise,74.19,-57.76,-9.22,46.24,-84.50,97.02,22.50,-29.58,7.36
,  Oxygen-depletion,67.41,-64.69,-15.64,-6.03,-89.99,94.74,19.10,-32.61,-3.46
,  Urban Activities,62.01,-72.67,-18.01,31.88,-93.20,89.86,14.02,-40.88,-3.37
Average,,67.87,-62.98,-14.53,34.92,-73.11,92.65,17.82,-34.17,3.56
,  ,67.87,-62.98,-14.53,34.92,-73.11,92.65,17.82,-34.17,3.56
