Quarter,Month,Culture_Administration,Culture_Factory,Culture_Museum,Production_Concert,Production_Hospital,Service_Library,Service_Workshop
Minimum,,76.31,45.69,1.25,15.71,50.88,66.57,27.99
,  ,76.31,45.69,1.25,15.71,50.88,66.57,27.99
Q2,,78.82,45.69,1.25,15.71,50.88,66.57,27.99
,  April,78.82,45.69,1.25,15.71,50.88,66.57,27.99
,  August,92.36,50.79,9.91,22.53,63.82,78.59,40.31
,  November,84.63,47.80,5.31,21.29,60.69,75.28,37.44
Q3,,76.31,48.41,4.98,20.91,59.35,73.15,33.58
,  April,99.28,54.90,13.27,27.45,65.12,79.82,45.77
,  July,85.49,51.75,7.08,22.16,60.74,75.39,39.55
,  October,76.31,48.41,4.98,20.91,59.35,73.15,33.58
Q4,,78.04,47.38,3.21,19.65,56.09,70.41,30.39
,  December,84.71,50.57,5.30,22.28,61.28,76.19,38.34
,  May,78.04,47.38,3.21,19.65,56.09,70.41,30.39
,  September,98.86,52.46,9.60,25.98,64.48,79.26,38.11
