Polluted element,Type of pollution,Florida_Albany_2020,Florida_Columbia_2018,Florida_Tampa_2018,Georgia_Columbus_2018,Georgia_Fort Lauderdale_2020,Maryland_Aberdeen_2020,Maryland_Washington_2018,Average
Air,,63.58,21.80,13.93,34.16,-9.06,49.42,-36.29,19.65
,  Groundwater,60.35,91.06,1.80,71.62,26.47,-39.89,42.68,36.30
,  Inferior Irrigation,67.39,-4.99,24.08,-45.45,-89.95,95.37,-73.80,-3.91
,  Noise,62.99,-20.66,15.92,76.30,36.31,92.79,-77.74,26.56
Soil,,-25.91,19.04,9.14,73.81,-11.12,3.67,46.30,16.42
,  Chemical,61.18,-27.66,7.49,74.57,34.38,-39.32,44.05,22.10
,  Inferior Irrigation,-72.32,96.68,1.54,69.26,25.85,-43.62,40.93,16.90
,  Thermal,-66.60,-11.91,18.39,77.61,-93.58,93.94,53.92,10.25
Water,,17.35,-20.17,13.48,32.08,-9.56,47.54,5.13,12.26
,  Light,-68.98,-7.87,22.77,-49.90,38.87,91.52,53.87,11.47
,  Oxygen-depletion,61.65,-21.58,14.72,75.81,-93.99,91.85,49.72,25.45
,  Solid Waste,59.39,-31.07,2.94,70.32,26.44,-40.74,-88.20,-0.13
Average,,18.34,6.89,12.18,46.68,-9.91,33.54,5.05,16.11
,  ,18.34,6.89,12.18,46.68,-9.91,33.54,5.05,16.11
