Quarter,Month,Culture_Museum,Culture_Workshop,Production_Factory,Production_Theatre,Minimum
Q1,,18.19,69.03,84.55,34.36,18.19
,  February,31.00,72.50,88.72,44.80,31.00
,  May,36.94,75.96,97.41,61.27,36.94
,  November,18.19,69.03,84.55,34.36,18.19
Q2,,11.75,64.70,78.16,36.70,11.75
,  April,11.75,64.70,78.16,36.70,11.75
,  January,34.40,68.71,94.19,51.90,34.40
,  October,21.14,69.57,86.96,43.91,21.14
Q4,,15.51,68.77,78.80,38.66,15.51
,  April,34.94,69.52,96.06,59.22,34.94
,  December,31.25,69.27,87.22,43.03,31.25
,  May,15.51,68.77,78.80,38.66,15.51
Minimum,,11.75,64.70,78.16,34.36,11.75
,  ,11.75,64.70,78.16,34.36,11.75
