Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Residential,House,Q1,January,Maryland,Aberdeen,1.08
Residential,House,Q4,March,Minnesota,Minneapolis,5.27
Residential,House,Q2,February,Maryland,Hastings,6.11
Residential,House,Q1,December,Minnesota,Aberdeen,10.73
Residential,House,Q4,October,Maryland,Minneapolis,15.63
Residential,House,Q2,April,Minnesota,Hastings,18.11
Residential,House,Q1,May,Maryland,Aberdeen,20.54
Residential,House,Q4,January,Minnesota,Minneapolis,21.64
Residential,House,Q2,March,Maryland,Hastings,26.47
Culture,Hotel,Q1,January,Maryland,Aberdeen,28.46
Culture,Hotel,Q4,March,Minnesota,Minneapolis,28.61
Culture,Hotel,Q2,February,Maryland,Hastings,30.43
Culture,Hotel,Q1,December,Minnesota,Aberdeen,31.71
Culture,Hotel,Q4,October,Maryland,Minneapolis,31.29
Culture,Hotel,Q2,April,Minnesota,Hastings,31.17
Culture,Hotel,Q1,May,Maryland,Aberdeen,31.99
Culture,Hotel,Q4,January,Minnesota,Minneapolis,32.39
Culture,Hotel,Q2,March,Maryland,Hastings,36.85
Residential,Apartment,Q1,January,Maryland,Aberdeen,37.98
Residential,Apartment,Q4,March,Minnesota,Minneapolis,30.58
Residential,Apartment,Q2,February,Maryland,Hastings,39.76
Residential,Apartment,Q1,December,Minnesota,Aberdeen,39.13
Residential,Apartment,Q4,October,Maryland,Minneapolis,40.27
Residential,Apartment,Q2,April,Minnesota,Hastings,42.36
Residential,Apartment,Q1,May,Maryland,Aberdeen,43.73
Residential,Apartment,Q4,January,Minnesota,Minneapolis,42.31
Residential,Apartment,Q2,March,Maryland,Hastings,50.05
Culture,Museum,Q1,January,Maryland,Aberdeen,52.83
Culture,Museum,Q4,March,Minnesota,Minneapolis,53.61
Culture,Museum,Q2,February,Maryland,Hastings,56.31
Culture,Museum,Q1,December,Minnesota,Aberdeen,58.06
Culture,Museum,Q4,October,Maryland,Minneapolis,58.39
Culture,Museum,Q2,April,Minnesota,Hastings,60.57
Culture,Museum,Q1,May,Maryland,Aberdeen,60.19
Culture,Museum,Q4,January,Minnesota,Minneapolis,58.72
Culture,Museum,Q2,March,Maryland,Hastings,63.9
Residential,Theatre,Q1,January,Maryland,Aberdeen,64.75
Residential,Theatre,Q4,March,Minnesota,Minneapolis,65.07
Residential,Theatre,Q2,February,Maryland,Hastings,66.58
Residential,Theatre,Q1,December,Minnesota,Aberdeen,68.76
Residential,Theatre,Q4,October,Maryland,Minneapolis,72.69
Residential,Theatre,Q2,April,Minnesota,Hastings,73.15
Residential,Theatre,Q1,May,Maryland,Aberdeen,77.35
Residential,Theatre,Q4,January,Minnesota,Minneapolis,78.96
Residential,Theatre,Q2,March,Maryland,Hastings,79.99
Culture,Concert,Q1,January,Maryland,Aberdeen,80.61
Culture,Concert,Q4,March,Minnesota,Minneapolis,85.14
Culture,Concert,Q2,February,Maryland,Hastings,87.52
Culture,Concert,Q1,December,Minnesota,Aberdeen,88.35
Culture,Concert,Q4,October,Maryland,Minneapolis,88.13
Culture,Concert,Q2,April,Minnesota,Hastings,87.72
Culture,Concert,Q1,May,Maryland,Aberdeen,91.48
Culture,Concert,Q4,January,Minnesota,Minneapolis,92.4
Culture,Concert,Q2,March,Maryland,Hastings,94.54
