Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2017,Minnesota,Minneapolis,Humidity,Medium,0.37
2017,Minnesota,Minneapolis,Wind,Low,0.64
2017,Minnesota,Minneapolis,Humidity,High,2.47
2017,Minnesota,Minneapolis,Wind,Calm,3.13
2017,Minnesota,Minneapolis,Humidity,Storm,4.76
2017,Minnesota,Minneapolis,Wind,Breeze,3.47
2018,Florida,Rochester,Humidity,Medium,6.48
2018,Florida,Rochester,Wind,Low,7.55
2018,Florida,Rochester,Humidity,High,1.97
2018,Florida,Rochester,Wind,Calm,9.43
2018,Florida,Rochester,Humidity,Storm,10.8
2018,Florida,Rochester,Wind,Breeze,9.98
2017,Georgia,Hastings,Humidity,Medium,12.75
2017,Georgia,Hastings,Wind,Low,13.76
2017,Georgia,Hastings,Humidity,High,14.45
2017,Georgia,Hastings,Wind,Calm,15.41
2017,Georgia,Hastings,Humidity,Storm,16.61
2017,Georgia,Hastings,Wind,Breeze,17.51
2018,Minnesota,Tampa,Humidity,Medium,18.42
2018,Minnesota,Tampa,Wind,Low,19.75
2018,Minnesota,Tampa,Humidity,High,20.44
2018,Minnesota,Tampa,Wind,Calm,18.82
2018,Minnesota,Tampa,Humidity,Storm,22.36
2018,Minnesota,Tampa,Wind,Breeze,23.84
2017,Florida,Fort Lauderdale,Humidity,Medium,24.26
2017,Florida,Fort Lauderdale,Wind,Low,25.08
2017,Florida,Fort Lauderdale,Humidity,High,26.22
2017,Florida,Fort Lauderdale,Wind,Calm,27.22
2017,Florida,Fort Lauderdale,Humidity,Storm,24.68
2017,Florida,Fort Lauderdale,Wind,Breeze,25.89
2018,Georgia,Columbus,Humidity,Medium,26.01
2018,Georgia,Columbus,Wind,Low,23.9
2018,Georgia,Columbus,Humidity,High,27.53
2018,Georgia,Columbus,Wind,Calm,25.39
2018,Georgia,Columbus,Humidity,Storm,27.99
2018,Georgia,Columbus,Wind,Breeze,10.47
2017,Minnesota,Washington,Humidity,Medium,12.39
2017,Minnesota,Washington,Wind,Low,12.64
2017,Minnesota,Washington,Humidity,High,13.64
2017,Minnesota,Washington,Wind,Calm,13.35
2017,Minnesota,Washington,Humidity,Storm,13.49
2017,Minnesota,Washington,Wind,Breeze,14.38
2018,Florida,Albany,Humidity,Medium,16.36
2018,Florida,Albany,Wind,Low,16.1
2018,Florida,Albany,Humidity,High,17.29
2018,Florida,Albany,Wind,Calm,19.55
2018,Florida,Albany,Humidity,Storm,24.2
2018,Florida,Albany,Wind,Breeze,25.38
