Polluted element,Type of pollution,California_Las Vegas_2018,California_San Francisco_2020,Nevada_Berkeley_2015,Nevada_Los-Angeles_2016,Nevada_Reno_2015,Average
Air,,-2.10,41.51,23.30,24.82,15.30,20.57
,  Groundwater,48.33,89.53,-6.34,-58.29,30.58,20.76
,  Inorganic Fertilizers,-88.04,86.37,-20.94,68.60,12.58,11.71
,  Light,33.41,-51.36,97.18,64.16,2.73,29.22
Soil,,-0.45,1.08,25.37,25.74,16.01,13.55
,  Light,-74.11,-37.26,-4.06,-55.72,30.96,-28.04
,  Noise,31.53,80.53,98.26,65.00,3.64,55.79
,  Oxygen-depletion,41.22,-40.04,-18.10,67.93,13.43,12.89
Water,,-83.25,3.62,-14.71,-15.07,-22.69,-26.42
,  Chemical,-83.37,89.43,-18.12,-58.10,16.79,-10.67
,  Industrial,-98.54,-43.67,-24.94,-61.37,11.15,-43.47
,  Noise,-67.85,-34.90,-1.06,74.27,-96.01,-25.11
Average,,-28.60,15.40,11.32,11.83,2.87,2.56
,  ,-28.60,15.40,11.32,11.83,2.87,2.56
