Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,Hotel,Q4,November,2.26
Residential,Hotel,Q1,October,3.09
Residential,Hotel,Q4,March,9.76
Residential,Hotel,Q1,February,14.17
Residential,Hotel,Q4,January,15.62
Residential,Hotel,Q1,November,16.35
Service,Apartment,Q4,November,20.07
Service,Apartment,Q1,October,21.82
Service,Apartment,Q4,March,24.19
Service,Apartment,Q1,February,30.88
Service,Apartment,Q4,January,41.31
Service,Apartment,Q1,November,42.66
Residential,House,Q4,November,45.52
Residential,House,Q1,October,46.13
Residential,House,Q4,March,46.72
Residential,House,Q1,February,49.58
Residential,House,Q4,January,51.2
Residential,House,Q1,November,53.28
Service,School,Q4,November,53.45
Service,School,Q1,October,55.36
Service,School,Q4,March,58.94
Service,School,Q1,February,60.87
Service,School,Q4,January,66.04
Service,School,Q1,November,70.45
Residential,Library,Q4,November,73.85
Residential,Library,Q1,October,74.19
Residential,Library,Q4,March,73.55
Residential,Library,Q1,February,84.73
Residential,Library,Q4,January,97.6
Residential,Library,Q1,November,98.13
