Quarter,Month,State,City,Culture_Administration,Culture_Theatre,Service_Library,Service_Museum,Minimum
Q1,April,Georgia,Aberdeen,68.56,14.94,99.04,40.65,14.94
,August,Georgia,Aberdeen,43.09,8.73,73.89,18.17,8.73
,February,Maryland,Aberdeen,54.44,10.69,82.59,18.33,10.69
Q2,April,Georgia,Columbus,42.21,3.14,70.26,15.22,3.14
,July,Maryland,Columbus,46.90,9.47,74.21,18.43,9.47
,March,Georgia,Columbus,56.14,10.86,84.14,28.49,10.86
Q3,January,Maryland,Baltimore,66.53,10.50,92.33,38.80,10.50
,June,Maryland,Baltimore,43.41,3.30,71.20,17.41,3.30
,September,Georgia,Baltimore,48.10,10.18,78.58,20.18,10.18
Minimum,,,,42.21,3.14,70.26,15.22,3.14
