Polluted element,Type of pollution,California_Albany,California_Boulder City,Georgia_Berkeley,Georgia_Las Vegas,Georgia_Washington,Nevada_Columbus,Nevada_Malibu,Nevada_Reno
Air,Industrial,-49.38,84.16,-7.70,55.42,-69.37,-94.16,-37.69,18.49
,Inferior Irrigation,-48.48,87.78,-2.48,60.63,-61.00,-90.52,-30.83,21.75
,Inorganic Fertilizers,-58.28,66.89,-26.04,32.07,-81.72,91.97,-44.38,6.37
,Surface water,-56.25,73.74,-21.34,36.45,-79.82,95.54,-40.87,8.99
,Thermal,-52.17,79.45,-22.21,39.81,-72.77,-99.14,-35.95,12.89
Soil,Industrial,-60.58,61.09,-30.13,26.07,-85.13,88.66,-48.79,3.54
,Inferior Irrigation,-58.67,67.53,-23.55,34.98,-79.87,92.96,-41.33,7.98
,Noise,-57.74,81.09,-15.25,43.60,-70.68,-97.98,-37.33,9.03
,Oxygen-depletion,-57.62,75.69,-20.08,36.69,-78.27,-2.08,-37.01,10.61
,Urban Activities,-49.23,85.36,-5.07,56.19,-67.29,-92.09,-31.75,21.96
Water,Groundwater,-55.19,76.80,-21.59,38.57,-75.62,-99.10,-36.09,11.74
,Inorganic Fertilizers,-47.07,86.56,-3.10,58.60,-63.66,-91.21,-30.72,21.18
,Light,-57.10,83.09,-12.43,52.56,-69.63,-97.04,-33.38,17.26
,Solid Waste,-56.59,71.01,-22.47,35.10,-78.02,93.95,-41.92,8.35
,Urban Activities,-60.60,64.66,-28.14,27.88,-82.08,90.90,-44.26,3.20
