Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2021,Temperature,21-30,0.8
2021,Wind,0-10,1.89
2021,Humidity,Breeze,0.87
2021,Temperature,Storm,4.02
2021,Wind,Medium,5.29
2021,Humidity,High,10.91
2021,Temperature,Low,12.17
2021,Wind,21-30,13.53
2021,Humidity,0-10,14.53
2019,Temperature,21-30,16.86
2019,Wind,0-10,17.78
2019,Humidity,Breeze,18.53
2019,Temperature,Storm,19.58
2019,Wind,Medium,21.15
2019,Humidity,High,22.86
2019,Temperature,Low,21.26
2019,Wind,21-30,24.94
2019,Humidity,0-10,27.91
