Quarter,Month,Culture_Concert,Culture_Library,Residential_Hospital,Residential_House,Service_Hotel,Service_Museum
Q1,,90.51,35.90,51.48,1.55,21.88,75.06
,  April,90.51,35.90,51.48,1.55,21.88,75.06
,  February,97.29,40.37,59.22,8.73,23.85,79.12
,  November,99.71,46.96,65.59,15.00,30.48,81.38
Q2,,90.75,35.41,50.64,1.72,20.42,75.03
,  May,93.18,39.15,53.46,6.08,23.34,77.63
,  November,90.75,35.41,50.64,1.72,20.42,75.03
,  October,99.43,40.91,62.58,15.97,30.03,81.59
Q4,,86.91,32.87,47.78,1.04,19.89,66.06
,  January,98.38,42.69,60.94,12.86,26.05,76.43
,  June,90.47,39.19,52.68,6.49,21.96,75.16
,  October,86.91,32.87,47.78,1.04,19.89,66.06
