Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,Apartment,Q3,September,1.37
Residential,Apartment,Q4,August,2.53
Residential,Apartment,Q2,July,4.45
Residential,Apartment,Q3,October,5.97
Residential,Apartment,Q4,December,10.46
Residential,Apartment,Q2,May,11.06
Residential,Apartment,Q3,June,10.61
Residential,Apartment,Q4,April,13.14
Residential,Apartment,Q2,September,14.87
Culture,House,Q3,September,16.36
Culture,House,Q4,August,16.46
Culture,House,Q2,July,19.14
Culture,House,Q3,October,20.22
Culture,House,Q4,December,20.56
Culture,House,Q2,May,22.25
Culture,House,Q3,June,21.31
Culture,House,Q4,April,19.64
Culture,House,Q2,September,27.2
Service,Museum,Q3,September,27.66
Service,Museum,Q4,August,29.97
Service,Museum,Q2,July,31.31
Service,Museum,Q3,October,34.1
Service,Museum,Q4,December,35.56
Service,Museum,Q2,May,35.61
Service,Museum,Q3,June,37.79
Service,Museum,Q4,April,39.91
Service,Museum,Q2,September,0.15
Residential,Concert,Q3,September,42.6
Residential,Concert,Q4,August,43.95
Residential,Concert,Q2,July,42.61
Residential,Concert,Q3,October,44.73
Residential,Concert,Q4,December,54.77
Residential,Concert,Q2,May,55.19
Residential,Concert,Q3,June,59.11
Residential,Concert,Q4,April,62.14
Residential,Concert,Q2,September,63.49
Culture,Theatre,Q3,September,64.65
Culture,Theatre,Q4,August,63.5
Culture,Theatre,Q2,July,64.48
Culture,Theatre,Q3,October,0.16
Culture,Theatre,Q4,December,68.75
Culture,Theatre,Q2,May,68.34
Culture,Theatre,Q3,June,62.71
Culture,Theatre,Q4,April,69.27
Culture,Theatre,Q2,September,72.13
Service,Administration,Q3,September,68.36
Service,Administration,Q4,August,75.04
Service,Administration,Q2,July,75.01
Service,Administration,Q3,October,77.64
Service,Administration,Q4,December,78.84
Service,Administration,Q2,May,76.94
Service,Administration,Q3,June,80.9
Service,Administration,Q4,April,87.94
Service,Administration,Q2,September,88.15
Residential,Library,Q3,September,89.23
Residential,Library,Q4,August,89.93
Residential,Library,Q2,July,90.38
Residential,Library,Q3,October,92.4
Residential,Library,Q4,December,93.28
Residential,Library,Q2,May,97.03
Residential,Library,Q3,June,98.52
Residential,Library,Q4,April,99.05
Residential,Library,Q2,September,99.46
