Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Culture,Museum,Q2,May,6.95
Culture,Museum,Q4,April,8.84
Culture,Museum,Q2,December,10.12
Culture,Museum,Q4,November,13.82
Culture,Museum,Q2,October,14.4
Culture,Museum,Q4,May,16.05
Service,Concert,Q2,May,21.26
Service,Concert,Q4,April,21.96
Service,Concert,Q2,December,30.99
Service,Concert,Q4,November,31.8
Service,Concert,Q2,October,34.7
Service,Concert,Q4,May,35.03
Production,Theatre,Q2,May,34.9
Production,Theatre,Q4,April,34.4
Production,Theatre,Q2,December,38.13
Production,Theatre,Q4,November,38.91
Production,Theatre,Q2,October,40.04
Production,Theatre,Q4,May,40.49
Culture,Library,Q2,May,42.14
Culture,Library,Q4,April,37.25
Culture,Library,Q2,December,46.54
Culture,Library,Q4,November,48.08
Culture,Library,Q2,October,49.78
Culture,Library,Q4,May,52.13
Service,School,Q2,May,54.91
Service,School,Q4,April,55.04
Service,School,Q2,December,55.12
Service,School,Q4,November,57.28
Service,School,Q2,October,59.39
Service,School,Q4,May,61.4
Production,Hospital,Q2,May,62.52
Production,Hospital,Q4,April,0.16
Production,Hospital,Q2,December,64.51
Production,Hospital,Q4,November,66.37
Production,Hospital,Q2,October,66.69
Production,Hospital,Q4,May,68.33
Culture,Workshop,Q2,May,65.51
Culture,Workshop,Q4,April,71.5
Culture,Workshop,Q2,December,72.69
Culture,Workshop,Q4,November,73.91
Culture,Workshop,Q2,October,76.26
Culture,Workshop,Q4,May,80.61
Service,Factory,Q2,May,83.83
Service,Factory,Q4,April,84.71
Service,Factory,Q2,December,91.38
Service,Factory,Q4,November,95.36
Service,Factory,Q2,October,98.62
Service,Factory,Q4,May,99.6
