Polluted element,Type of pollution,California_Baltimore_2016,California_Flint_2016,California_Malibu_2016,Maryland_Aberdeen_2021,Maryland_Detroit_2021,Maryland_San Francisco_2021,Michigan_Berkeley_2019,Michigan_Port Huron_2019
Air,Chemical,42.34,-18.69,97.92,23.04,-41.08,-3.35,61.47,-79.24
,Industrial,46.64,-9.99,99.85,23.06,-38.62,84.25,60.84,-75.06
,Inferior Irrigation,34.56,-29.39,90.10,7.05,-58.49,74.98,53.48,-89.85
,Oxygen-depletion,40.80,-21.10,92.99,14.01,-51.31,78.96,56.40,-82.21
,Solid Waste,29.43,-38.27,82.50,1.99,-72.33,67.19,50.85,-95.41
Soil,Inorganic Fertilizers,31.71,-32.52,84.63,4.95,-60.74,72.05,52.13,-89.29
,Solid Waste,46.51,-16.15,98.80,24.30,-39.91,83.01,61.93,-76.53
,Surface water,41.25,-19.25,96.42,21.21,-48.27,80.43,59.09,-79.46
,Thermal,39.78,-24.44,92.60,14.76,-54.86,77.61,54.28,-84.49
,Urban Activities,29.62,-37.38,82.29,0.49,-73.35,67.88,47.00,-99.06
Water,Groundwater,41.97,-21.59,94.31,17.21,-49.45,79.19,59.39,-81.22
,Industrial,30.23,-33.61,88.63,3.98,-61.80,69.56,51.26,-92.02
,Inorganic Fertilizers,48.31,-3.15,77.34,28.40,-37.18,83.93,64.38,-74.37
,Noise,35.83,-25.80,90.43,13.51,-55.06,75.24,50.82,-89.79
,Urban Activities,45.12,-16.46,98.33,24.75,-41.48,82.70,62.30,-77.40
Average,,38.94,-23.19,91.14,14.85,-52.26,71.58,56.37,-84.36
