Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Residential,Apartment,Q2,June,Michigan,Flint,1.31
Residential,Apartment,Q1,April,Michigan,Flint,3.31
Residential,Apartment,Q3,May,Michigan,Flint,3.94
Residential,Apartment,Q2,January,Michigan,Flint,7.67
Residential,Apartment,Q1,February,Michigan,Flint,7.57
Residential,Apartment,Q3,March,Michigan,Flint,13.64
Residential,Apartment,Q2,July,Michigan,Flint,13.45
Residential,Apartment,Q1,August,Michigan,Flint,13.26
Residential,Apartment,Q3,September,Michigan,Flint,17.43
Service,House,Q2,June,Michigan,Flint,20.57
Service,House,Q1,April,Michigan,Flint,21.25
Service,House,Q3,May,Michigan,Flint,22.18
Service,House,Q2,January,Michigan,Flint,23.88
Service,House,Q1,February,Michigan,Flint,24.73
Service,House,Q3,March,Michigan,Flint,24.77
Service,House,Q2,July,Michigan,Flint,25.91
Service,House,Q1,August,Michigan,Flint,29.67
Service,House,Q3,September,Michigan,Flint,31.18
Culture,Hotel,Q2,June,Michigan,Flint,32.22
Culture,Hotel,Q1,April,Michigan,Flint,34.53
Culture,Hotel,Q3,May,Michigan,Flint,36.22
Culture,Hotel,Q2,January,Michigan,Flint,37.77
Culture,Hotel,Q1,February,Michigan,Flint,38.05
Culture,Hotel,Q3,March,Michigan,Flint,39.46
Culture,Hotel,Q2,July,Michigan,Flint,40.08
Culture,Hotel,Q1,August,Michigan,Flint,39.11
Culture,Hotel,Q3,September,Michigan,Flint,38.71
Residential,Library,Q2,June,Michigan,Flint,43.69
Residential,Library,Q1,April,Michigan,Flint,44.49
Residential,Library,Q3,May,Michigan,Flint,45.58
Residential,Library,Q2,January,Michigan,Flint,43.57
Residential,Library,Q1,February,Michigan,Flint,47.36
Residential,Library,Q3,March,Michigan,Flint,48.97
Residential,Library,Q2,July,Michigan,Flint,44.55
Residential,Library,Q1,August,Michigan,Flint,45.94
Residential,Library,Q3,September,Michigan,Flint,51.75
Service,Hospital,Q2,June,Michigan,Flint,61.03
Service,Hospital,Q1,April,Michigan,Flint,53.06
Service,Hospital,Q3,May,Michigan,Flint,55.95
Service,Hospital,Q2,January,Michigan,Flint,57.73
Service,Hospital,Q1,February,Michigan,Flint,58.72
Service,Hospital,Q3,March,Michigan,Flint,58.52
Service,Hospital,Q2,July,Michigan,Flint,60.45
Service,Hospital,Q1,August,Michigan,Flint,61.95
Service,Hospital,Q3,September,Michigan,Flint,62.77
Culture,School,Q2,June,Michigan,Flint,61.52
Culture,School,Q1,April,Michigan,Flint,64.53
Culture,School,Q3,May,Michigan,Flint,63.24
Culture,School,Q2,January,Michigan,Flint,66.51
Culture,School,Q1,February,Michigan,Flint,60.68
Culture,School,Q3,March,Michigan,Flint,68.55
Culture,School,Q2,July,Michigan,Flint,63.48
Culture,School,Q1,August,Michigan,Flint,38.97
Culture,School,Q3,September,Michigan,Flint,71.13
Residential,Concert,Q2,June,Michigan,Flint,72.8
Residential,Concert,Q1,April,Michigan,Flint,74.92
Residential,Concert,Q3,May,Michigan,Flint,74.5
Residential,Concert,Q2,January,Michigan,Flint,76.11
Residential,Concert,Q1,February,Michigan,Flint,74.47
Residential,Concert,Q3,March,Michigan,Flint,77.58
Residential,Concert,Q2,July,Michigan,Flint,77.94
Residential,Concert,Q1,August,Michigan,Flint,76.55
Residential,Concert,Q3,September,Michigan,Flint,74.88
Service,Theatre,Q2,June,Michigan,Flint,74.28
Service,Theatre,Q1,April,Michigan,Flint,75.15
Service,Theatre,Q3,May,Michigan,Flint,88.4
Service,Theatre,Q2,January,Michigan,Flint,91.12
Service,Theatre,Q1,February,Michigan,Flint,91.67
Service,Theatre,Q3,March,Michigan,Flint,44.25
Service,Theatre,Q2,July,Michigan,Flint,96.74
Service,Theatre,Q1,August,Michigan,Flint,99.68
Service,Theatre,Q3,September,Michigan,Flint,99.25
