Quarter,Month,Culture_Apartment,Culture_Theatre,Culture_Workshop,Production_Hotel,Production_Museum,Residential_Concert,Residential_Factory,Residential_House
Q1,June,53.91,9.20,76.39,65.83,41.94,24.72,97.02,61.35
,May,44.03,3.44,75.16,65.11,28.79,14.76,92.37,57.91
,September,48.43,6.20,78.32,69.55,38.48,17.53,94.36,60.33
Q2,January,46.76,5.28,79.19,65.71,30.45,17.92,95.82,57.10
,July,52.13,9.35,81.27,71.31,39.85,21.66,98.02,61.69
,June,42.37,2.69,75.34,62.83,24.61,12.30,90.46,55.51
Q3,August,51.44,8.50,81.85,70.61,39.08,20.16,97.10,61.93
,February,45.40,2.66,78.30,61.78,30.59,17.39,94.97,57.14
,May,52.10,11.78,84.87,75.71,41.32,25.19,94.54,64.45
Minimum,,42.37,2.66,75.16,61.78,24.61,12.30,90.46,55.51
