State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Minnesota,Hastings,2018,Air,Noise,1.27
Minnesota,Hastings,2018,Soil,Thermal,1.47
Minnesota,Hastings,2018,Water,Light,5.52
Minnesota,Hastings,2018,Air,Solid Waste,6.82
Minnesota,Hastings,2018,Soil,Inorganic Fertilizers,7.38
Minnesota,Hastings,2018,Water,Chemical,8.45
Minnesota,Hastings,2018,Air,Surface water,7.22
Minnesota,Hastings,2018,Soil,Groundwater,10.19
Minnesota,Hastings,2018,Water,Oxygen-depletion,10.24
Minnesota,Hastings,2018,Air,Noise,5.03
Minnesota,Hastings,2018,Soil,Thermal,13.34
Minnesota,Hastings,2018,Water,Light,16.93
Massachusetts,Rochester,2021,Air,Noise,17.71
Massachusetts,Rochester,2021,Soil,Thermal,-0.01
Massachusetts,Rochester,2021,Water,Light,21.81
Massachusetts,Rochester,2021,Air,Solid Waste,24.64
Massachusetts,Rochester,2021,Soil,Inorganic Fertilizers,25.55
Massachusetts,Rochester,2021,Water,Chemical,30.95
Massachusetts,Rochester,2021,Air,Surface water,32.75
Massachusetts,Rochester,2021,Soil,Groundwater,33.78
Massachusetts,Rochester,2021,Water,Oxygen-depletion,35.92
Massachusetts,Rochester,2021,Air,Noise,36.77
Massachusetts,Rochester,2021,Soil,Thermal,36.82
Massachusetts,Rochester,2021,Water,Light,37.1
Oregon,Minneapolis,2018,Air,Noise,40.93
Oregon,Minneapolis,2018,Soil,Thermal,41.88
Oregon,Minneapolis,2018,Water,Light,49.04
Oregon,Minneapolis,2018,Air,Solid Waste,50.28
Oregon,Minneapolis,2018,Soil,Inorganic Fertilizers,53.35
Oregon,Minneapolis,2018,Water,Chemical,53.1
Oregon,Minneapolis,2018,Air,Surface water,56.2
Oregon,Minneapolis,2018,Soil,Groundwater,58.39
Oregon,Minneapolis,2018,Water,Oxygen-depletion,60.66
Oregon,Minneapolis,2018,Air,Noise,63.07
Oregon,Minneapolis,2018,Soil,Thermal,70.46
Oregon,Minneapolis,2018,Water,Light,72.41
Minnesota,Lenox,2021,Air,Noise,73.95
Minnesota,Lenox,2021,Soil,Thermal,76.55
Minnesota,Lenox,2021,Water,Light,76.2
Minnesota,Lenox,2021,Air,Solid Waste,78.43
Minnesota,Lenox,2021,Soil,Inorganic Fertilizers,76.54
Minnesota,Lenox,2021,Water,Chemical,76.62
Minnesota,Lenox,2021,Air,Surface water,81.17
Minnesota,Lenox,2021,Soil,Groundwater,85.46
Minnesota,Lenox,2021,Water,Oxygen-depletion,86.65
Minnesota,Lenox,2021,Air,Noise,89.18
Minnesota,Lenox,2021,Soil,Thermal,93.26
Minnesota,Lenox,2021,Water,Light,94.04
Massachusetts,Boston,2018,Air,Noise,96.51
Massachusetts,Boston,2018,Soil,Thermal,98.48
Massachusetts,Boston,2018,Water,Light,99.77
Massachusetts,Boston,2018,Air,Solid Waste,-0.11
Massachusetts,Boston,2018,Soil,Inorganic Fertilizers,0.62
Massachusetts,Boston,2018,Water,Chemical,-97.89
Massachusetts,Boston,2018,Air,Surface water,-95.2
Massachusetts,Boston,2018,Soil,Groundwater,-95.79
Massachusetts,Boston,2018,Water,Oxygen-depletion,-90.24
Massachusetts,Boston,2018,Air,Noise,-90.76
Massachusetts,Boston,2018,Soil,Thermal,-88.51
Massachusetts,Boston,2018,Water,Light,-88.33
Oregon,Cambridge,2021,Air,Noise,-87.24
Oregon,Cambridge,2021,Soil,Thermal,-85.51
Oregon,Cambridge,2021,Water,Light,-82.77
Oregon,Cambridge,2021,Air,Solid Waste,-80.77
Oregon,Cambridge,2021,Soil,Inorganic Fertilizers,-80.02
Oregon,Cambridge,2021,Water,Chemical,-78.57
Oregon,Cambridge,2021,Air,Surface water,-77.84
Oregon,Cambridge,2021,Soil,Groundwater,-76.71
Oregon,Cambridge,2021,Water,Oxygen-depletion,-75.78
Oregon,Cambridge,2021,Air,Noise,-73.17
Oregon,Cambridge,2021,Soil,Thermal,-72.59
Oregon,Cambridge,2021,Water,Light,-71.67
Minnesota,Portland,2018,Air,Noise,-69.48
Minnesota,Portland,2018,Soil,Thermal,-69.69
Minnesota,Portland,2018,Water,Light,-67.37
Minnesota,Portland,2018,Air,Solid Waste,-65.5
Minnesota,Portland,2018,Soil,Inorganic Fertilizers,-63.12
Minnesota,Portland,2018,Water,Chemical,-62.93
Minnesota,Portland,2018,Air,Surface water,-57.6
Minnesota,Portland,2018,Soil,Groundwater,-56.25
Minnesota,Portland,2018,Water,Oxygen-depletion,-54.85
Minnesota,Portland,2018,Air,Noise,-53.57
Minnesota,Portland,2018,Soil,Thermal,-52.79
Minnesota,Portland,2018,Water,Light,-43.2
Massachusetts,Redmond,2021,Air,Noise,-43.29
Massachusetts,Redmond,2021,Soil,Thermal,-40.5
Massachusetts,Redmond,2021,Water,Light,-36.02
Massachusetts,Redmond,2021,Air,Solid Waste,-35.31
Massachusetts,Redmond,2021,Soil,Inorganic Fertilizers,-34.67
Massachusetts,Redmond,2021,Water,Chemical,-33.52
Massachusetts,Redmond,2021,Air,Surface water,-31.72
Massachusetts,Redmond,2021,Soil,Groundwater,-30.94
Massachusetts,Redmond,2021,Water,Oxygen-depletion,-26.12
Massachusetts,Redmond,2021,Air,Noise,-23.18
Massachusetts,Redmond,2021,Soil,Thermal,-23.9
Massachusetts,Redmond,2021,Water,Light,-22.34
Oregon,Salem,2018,Air,Noise,-4.32
Oregon,Salem,2018,Soil,Thermal,-20.79
Oregon,Salem,2018,Water,Light,-18.15
Oregon,Salem,2018,Air,Solid Waste,-17.19
Oregon,Salem,2018,Soil,Inorganic Fertilizers,-16.0
Oregon,Salem,2018,Water,Chemical,-22.47
Oregon,Salem,2018,Air,Surface water,-18.35
Oregon,Salem,2018,Soil,Groundwater,-9.82
Oregon,Salem,2018,Water,Oxygen-depletion,-6.63
Oregon,Salem,2018,Air,Noise,-5.53
Oregon,Salem,2018,Soil,Thermal,-4.99
Oregon,Salem,2018,Water,Light,-1.37
