Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2015,Minnesota,Rochester,Humidity,Medium,0.98
2015,Minnesota,Rochester,Wind,Low,2.8
2015,Minnesota,Rochester,Humidity,Breeze,3.4
2015,Minnesota,Rochester,Wind,Calm,4.93
2021,Oregon,Minneapolis,Humidity,Medium,8.47
2021,Oregon,Minneapolis,Wind,Low,10.07
2021,Oregon,Minneapolis,Humidity,Breeze,10.42
2021,Oregon,Minneapolis,Wind,Calm,13.5
2020,Minnesota,Portland,Humidity,Medium,14.04
2020,Minnesota,Portland,Wind,Low,13.63
2020,Minnesota,Portland,Humidity,Breeze,13.18
2020,Minnesota,Portland,Wind,Calm,17.15
2015,Oregon,Redmond,Humidity,Medium,18.65
2015,Oregon,Redmond,Wind,Low,19.94
2015,Oregon,Redmond,Humidity,Breeze,24.35
2015,Oregon,Redmond,Wind,Calm,24.2
2021,Minnesota,Salem,Humidity,Medium,24.78
2021,Minnesota,Salem,Wind,Low,27.01
2021,Minnesota,Salem,Humidity,Breeze,25.18
2021,Minnesota,Salem,Wind,Calm,0.02
