Polluted element,Type of pollution,Florida_Las Vegas_2019,Florida_Tampa_2017,Nevada_Boulder City_2015,Nevada_Fort Lauderdale_2015,Nevada_Reno_2016
Air,Chemical,34.64,71.43,4.76,98.61,-82.85
,Inorganic Fertilizers,45.99,90.74,17.65,-14.88,-68.69
,Light,-91.51,-50.04,11.95,-24.82,-72.27
,Surface water,49.70,-34.80,27.01,-5.40,61.92
Soil,Chemical,-79.79,93.12,28.17,-2.33,-61.65
,Groundwater,-94.96,-53.25,6.68,-26.26,54.15
,Noise,40.38,82.23,14.78,-22.66,58.18
,Urban Activities,-83.82,92.89,18.15,-9.68,-67.79
Water,Inferior Irrigation,-80.45,-35.25,19.95,-7.10,62.15
,Oxygen-depletion,36.80,-50.77,10.37,-25.24,-73.94
,Surface water,-96.16,-58.81,4.91,94.77,51.08
,Thermal,45.58,-9.89,14.63,-17.00,58.24
