Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,Hotel,Q3,July,9.03
Residential,Hotel,Q2,September,12.09
Residential,Hotel,Q4,June,14.76
Residential,Hotel,Q3,May,19.15
Residential,Hotel,Q2,October,22.09
Residential,Hotel,Q4,November,26.43
Production,Apartment,Q3,July,35.15
Production,Apartment,Q2,September,37.69
Production,Apartment,Q4,June,41.17
Production,Apartment,Q3,May,41.51
Production,Apartment,Q2,October,45.05
Production,Apartment,Q4,November,57.28
Residential,Factory,Q3,July,58.98
Residential,Factory,Q2,September,60.45
Residential,Factory,Q4,June,60.56
Residential,Factory,Q3,May,66.3
Residential,Factory,Q2,October,76.92
Residential,Factory,Q4,November,77.28
Production,Workshop,Q3,July,78.52
Production,Workshop,Q2,September,88.32
Production,Workshop,Q4,June,94.21
Production,Workshop,Q3,May,94.03
Production,Workshop,Q2,October,98.91
Production,Workshop,Q4,November,99.07
