Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2018,Cereals,Wheat,768.04
Import,2018,Meat,Seeds,769.83
Import,2018,Dairy,Pork,517.32
Import,2018,Cereals,Lamb,903.11
Import,2018,Meat,Cream,265.02
Import,2018,Dairy,Cheese,907.82
Import,2022,Cereals,Wheat,268.29
Import,2022,Meat,Seeds,275.14
Import,2022,Dairy,Pork,176.35
Import,2022,Cereals,Lamb,309.08
Import,2022,Meat,Cream,312.86
Import,2022,Dairy,Cheese,441.83
Import,2021,Cereals,Wheat,318.7
Import,2021,Meat,Seeds,961.84
Import,2021,Dairy,Pork,715.72
Import,2021,Cereals,Lamb,75.64
Import,2021,Meat,Cream,469.91
Import,2021,Dairy,Cheese,985.04
Import,2018,Cereals,Wheat,367.2
Import,2018,Meat,Seeds,499.15
Import,2018,Dairy,Pork,629.55
Import,2018,Cereals,Lamb,890.4
Import,2018,Meat,Cream,254.51
Import,2018,Dairy,Cheese,383.94
