Characteristic,Intensity,2017_Maryland_Chicago,2017_Maryland_Columbia,2019_Illinois_Aberdeen,2019_Illinois_Baltimore,2019_Illinois_Springfield
Maximum,,13.80,24.78,26.85,19.32,4.66
,  ,13.80,24.78,26.85,19.32,4.66
Humidity,,12.00,24.78,26.73,18.57,4.66
,  Calm,10.49,21.99,26.73,16.33,2.71
,  Medium,7.70,20.24,26.55,14.38,1.94
,  Storm,12.00,24.78,25.71,18.57,4.66
Wind,,13.80,24.66,26.85,19.32,2.97
,  Breeze,9.74,23.54,24.87,14.19,2.23
,  Low,9.91,21.18,26.85,14.71,2.47
,  Medium,13.80,24.66,17.97,19.32,2.97
